Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
Reliant Energy Northeast LLC,PA,Power Marketer,"190,379","2,052,560","196,872.80",9.59
"ResCom Energy, LLC",PA,Power Marketer,15,38,2.7,7.11
"Residents Energy, LLC",PA,Power Marketer,"11,498","110,130","9,009.40",8.18
Respond Power LLC,PA,Power Marketer,"9,026","78,091","12,139.00",15.54
"Rushmore Energy, LLC",PA,Power Marketer,"5,265","42,927","3,765.80",8.77
SFE Energy Pennsylvania,PA,Power Marketer,"28,883","221,390","17,719.00",8
Santanna Energy Services,PA,Power Marketer,235,"4,644",273.5,5.89
"Shipley Choice, LLC",PA,Power Marketer,"16,975","192,336","16,857.90",8.76
"SmartEnergy Holdings, LLC",PA,Power Marketer,"20,686","171,182","17,081.40",9.98
South Bay Energy Corp.,PA,Power Marketer,966,"1,970",135,6.85
"Spark Energy, LP",PA,Power Marketer,77,"3,258",318,9.76
Spring Energy RRH LLC dba Spring Power &,PA,Power Marketer,"2,447","17,034","1,454.00",8.54
"Star Energy Partners, LLC",PA,Power Marketer,"9,694","98,376","9,887.90",10.05
"Starion Energy PA, Inc.",PA,Power Marketer,"2,032","17,211","1,574.70",9.15
StateWise Energy Pennsylvania LLC,PA,Power Marketer,489,993,141,14.2
"Stream Energy Pennsylvania, LLC",PA,Power Marketer,"70,130","802,838","67,236.00",8.37
"Sunwave Gas & Power Connecticut, Inc.",PA,Power Marketer,497,"6,428",615,9.57
"Texpo Power, L.P.",PA,Power Marketer,"3,758","33,081","2,943.00",8.9
The Energy Coop,PA,Cooperative,"2,135","21,612","2,728.30",12.62
Titan Gas LLC,PA,Power Marketer,"26,232","297,127","28,098.20",9.46
Tomorow Energy Corp.,PA,Power Marketer,"33,830","314,316","34,958.90",11.12
"TriEagle Energy, L.P.",PA,Power Marketer,"20,122","256,012","20,959.10",8.19
"UGI Energy Services, Inc.",PA,Power Marketer,448,"5,541",375.7,6.78
Verde Energy USA,PA,Power Marketer,"68,833","618,425","65,797.00",10.64
Viridian Energy PA LLC,PA,Power Marketer,"3,758","34,235","4,236.40",12.37
"Vista Energy Marketing, L.P.",PA,Power Marketer,"8,693","78,211","6,952.00",8.89
"WGL Energy Services, Inc.",PA,Power Marketer,"6,521","62,216","4,680.00",7.52
"XOOM Energy Pennsylvania, LLC",PA,Power Marketer,"13,703","142,396","12,716.00",8.93
Agera Energy LLC,RI,Power Marketer,526,"3,097",377,12.17
"Ambit Energy Holdings, LLC",RI,Power Marketer,"4,749","33,026","3,822.40",11.57
Clearview Electric Inc.,RI,Power Marketer,"11,241","56,496","8,461.80",14.98
"Constellation NewEnergy, Inc",RI,Power Marketer,46,352,32.1,9.12
Direct Energy Services,RI,Power Marketer,"4,786","30,381","3,199.80",10.53
