2022 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Park Power LLC,DC,Retail Power Marketer,528,"4,310",591.5,13.72
Public Power LLC (CT),DC,Retail Power Marketer,701,"10,170","1,283.0",12.62
"RPA Energy, Inc.",DC,Retail Power Marketer,142,"1,128",201.0,17.82
Reliant Energy Northeast LLC,DC,Retail Power Marketer,389,"3,145",457.0,14.53
"Renaissance Power & Gas, Inc.",DC,Retail Power Marketer,213,"1,654",228.0,13.78
"SmartEnergy Holdings, LLC",DC,Retail Power Marketer,"3,861","28,137","5,375.2",19.10
"Star Energy Partners, LLC",DC,Retail Power Marketer,"1,611","7,606",973.1,12.79
"Starion Energy PA, Inc.",DC,Retail Power Marketer,2,2,0.1,5.00
"Stream Energy Columbia, LLC",DC,Retail Power Marketer,387,"3,093",454.8,14.70
"SunSea Energy, LLC",DC,Retail Power Marketer,"1,446","8,532","2,221.0",26.03
Titan Gas LLC,DC,Retail Power Marketer,357,"3,837",551.5,14.37
Viridian Energy PA LLC,DC,Retail Power Marketer,97,904,132.6,14.67
"WGL Energy Services, Inc.",DC,Retail Power Marketer,"4,319","34,789","3,689.0",10.60
"XOOM Energy Washington DC, LLC",DC,Retail Power Marketer,"1,129","8,847","1,290.0",14.58
"Ambit Energy Holdings, LLC",DE,Retail Power Marketer,404,"4,708",435.0,9.24
"CleanChoice Energy, Inc.",DE,Retail Power Marketer,"3,316","29,995","5,228.9",17.43
Clearview Electric Inc.,DE,Retail Power Marketer,591,"5,373",991.0,18.44
"Commerce Energy, Inc.",DE,Retail Power Marketer,"1,980","23,001","2,831.1",12.31
"Constellation NewEnergy, Inc",DE,Retail Power Marketer,831,"9,611",814.9,8.48
Direct Energy Services,DE,Retail Power Marketer,"4,800","53,496","5,685.6",10.63
Discount Power Inc - (CT),DE,Retail Power Marketer,185,"1,796",281.5,15.67
"ENGIE Retail, LLC",DE,Retail Power Marketer,15,120,22.5,18.75
Energywell LLC,DE,Retail Power Marketer,22,17,3.3,19.41
"First Point Power, LLC",DE,Retail Power Marketer,37,457,75.5,16.52
Greenlight Energy Inc.,DE,Retail Power Marketer,14,108,17.0,15.74
"Inspire Energy Holdings, LLC",DE,Retail Power Marketer,"2,244","21,860","2,220.0",10.16
Liberty Power Corp.,DE,Retail Power Marketer,127,31,3.2,10.32
"MidAmerican Energy Services, LLC",DE,Retail Power Marketer,92,"1,640",92.7,5.65
"NextEra Energy Services, LLC",DE,Retail Power Marketer,240,"2,816",435.2,15.45
"Palmco Power DE, LLC",DE,Retail Power Marketer,382,"3,569",914.3,25.62
Park Power LLC,DE,Retail Power Marketer,435,"4,240",526.8,12.42
"RPA Energy, Inc.",DE,Retail Power Marketer,176,"1,545",266.0,17.22
Reliant Energy Northeast LLC,DE,Retail Power Marketer,"1,607","17,377","2,385.0",13.73
"ResCom Energy, LLC",DE,Retail Power Marketer,5,1,0.1,10.00
"Residents Energy, LLC",DE,Retail Power Marketer,935,"8,383","1,294.7",15.44
"Rushmore Energy, LLC",DE,Retail Power Marketer,"3,023","26,820","2,721.3",10.15
"SmartEnergy Holdings, LLC",DE,Retail Power Marketer,"2,322","23,030","4,304.0",18.69
"Spark Energy, LP",DE,Retail Power Marketer,183,"2,466",288.0,11.68
"Stream Energy Delaware, LLC",DE,Retail Power Marketer,331,"3,523",452.6,12.85
Viridian Energy PA LLC,DE,Retail Power Marketer,200,"2,309",313.2,13.56
"WGL Energy Services, Inc.",DE,Retail Power Marketer,"2,371","22,823","2,128.0",9.32
"XOOM Energy Delaware, LLC",DE,Retail Power Marketer,471,"5,193",768.0,14.79
AEP Energy,IL,Retail Power Marketer,"27,541","281,451","18,188.2",6.46
"Alpha Gas and Electric, LLC",IL,Retail Power Marketer,"4,923","30,541","4,057.0",13.28
"Ambit Energy Holdings, LLC",IL,Retail Power Marketer,"39,958","388,276","36,031.0",9.28
American Power & Gas,IL,Retail Power Marketer,940,"8,361",974.6,11.66
"CleanChoice Energy, Inc.",IL,Retail Power Marketer,"19,370","131,119","22,250.2",16.97
Clearview Electric Inc.,IL,Retail Power Marketer,"13,061","114,423","17,321.1",15.14
"Commerce Energy, Inc.",IL,Retail Power Marketer,"34,727","332,907","32,868.0",9.87
"Constellation NewEnergy, Inc",IL,Retail Power Marketer,"82,289","746,309","61,725.4",8.27
Direct Energy Services,IL,Retail Power Marketer,"49,478","404,693","47,351.7",11.70
"Dynegy Energy Services, LLC",IL,Retail Power Marketer,"59,147","622,630","39,167.6",6.29
ENGIE Power & Gas LLC,IL,Retail Power Marketer,493,"3,229",590.0,18.27
"ENGIE Retail, LLC",IL,Retail Power Marketer,"1,637","9,048","1,586.0",17.53
"Eligo Energy, LLC",IL,Retail Power Marketer,"38,981","292,573","24,575.3",8.40
