Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"EnergyMark, LLC",NY,Power Marketer,122,573,29.8,5.20
Gateway Energy Services Corp,NY,Power Marketer,"59,691","494,066","49,201.0",9.96
Glacial Energy Holdings,NY,Power Marketer,162,"5,030",456.4,9.07
Green Mountain Energy Company,NY,Power Marketer,"35,735","44,667","5,571.0",12.47
Hudson Energy Services,NY,Power Marketer,"30,666","431,672","39,286.3",9.10
"IDT Energy, Inc.",NY,Power Marketer,"135,729","696,098","76,282.0",10.96
Independence Energy Group LLC,NY,Power Marketer,"2,131","9,296",994.8,10.70
Just Energy New York Corp.,NY,Power Marketer,"136,535","935,008","90,377.0",9.67
Liberty Power Corp.,NY,Power Marketer,"37,171","44,663","4,858.0",10.88
Major Energy Electric Services,NY,Power Marketer,"24,693","297,178","25,700.0",8.65
"MxEnergy Electric, Inc.",NY,Power Marketer,"23,484","151,560","13,469.0",8.89
NOCO Electric,NY,Power Marketer,"12,281","117,615","5,308.0",4.51
NYSEG Solutions Inc,NY,Power Marketer,"96,467","809,098","44,461.6",5.50
"Plymouth Rock Energy, LLC",NY,Power Marketer,"2,564","20,873","1,878.7",9.00
Public Power LLC (CT),NY,Power Marketer,"7,426","33,983","3,385.0",9.96
"Robison Energy, LLC",NY,Power Marketer,"2,071","35,543","3,100.0",8.72
"Spark Energy, LP",NY,Power Marketer,"23,143","151,336","19,569.0",12.93
U.S. Energy Partners LLC,NY,Power Marketer,"2,697","23,964","1,102.0",4.60
Village of Hilton,NY,Power Marketer,"1,227","12,346",695.0,5.63
Viridian Energy NY LLC,NY,Power Marketer,"9,115","66,597","4,978.5",7.48
AEP Energy,OH,Power Marketer,"63,280","315,540","20,246.6",6.42
Cincinnati Bell Energy LLC,OH,Power Marketer,"10,924","122,853","7,263.7",5.91
"Commerce Energy, Inc.",OH,Power Marketer,"12,080","34,072","2,362.0",6.93
"Constellation NewEnergy, Inc",OH,Power Marketer,"1,154","10,434",637.5,6.11
DPL Energy Resources,OH,Power Marketer,"50,883","636,090","42,331.0",6.65
Direct Energy Services,OH,Power Marketer,"20,538","226,558","15,580.0",6.88
Dominion Retail Inc,OH,Power Marketer,"27,126","360,946","21,091.0",5.84
"Duke Energy Retail Sales, LLC",OH,Power Marketer,"91,348","1,196,114","72,799.7",6.09
Energy Plus Holdings LLC,OH,Power Marketer,192,"1,901",143.7,7.56
First Energy Solutions Corp.,OH,Power Marketer,"1,387,247","13,631,205","828,322.8",6.08
Glacial Energy Holdings,OH,Power Marketer,"2,331","20,529","1,251.2",6.09
Independence Energy Group LLC,OH,Power Marketer,393,423,24.4,5.77
"Integrys Energy Services, Inc.",OH,Power Marketer,"1,033","1,292",80.0,6.19
"Palmco Power OH, LLC",OH,Power Marketer,566,"2,353",126.0,5.35
Public Power LLC (CT),OH,Power Marketer,"5,019","11,788",873.1,7.41
AEP Energy,PA,Power Marketer,"5,809","71,071","6,540.4",9.20
AP Holdings LLC,PA,Power Marketer,"7,513","102,511","4,711.5",4.60
"Ambit Energy Holdings, LLC",PA,Power Marketer,"20,225","241,608","19,210.1",7.95
American Power Partners LLC,PA,Power Marketer,282,"3,306",236.0,7.14
Anthracite Power & Light,PA,Power Marketer,872,"10,990",839.3,7.64
"Bounce Energy, Inc.",PA,Power Marketer,"1,019",373,26.3,7.05
Champion Energy Services,PA,Power Marketer,"4,195","55,090","4,734.0",8.59
"Commerce Energy, Inc.",PA,Power Marketer,"10,637","92,141","8,484.0",9.21
Consolidated Edison Sol Inc,PA,Power Marketer,"44,001","548,526","41,133.0",7.50
"Constellation NewEnergy, Inc",PA,Power Marketer,"12,133","114,327","10,372.5",9.07
Direct Energy Services,PA,Power Marketer,"73,258","786,558","66,234.2",8.42
Dominion Retail Inc,PA,Power Marketer,"265,225","2,889,277","233,663.0",8.09
Energetix,PA,Power Marketer,"13,766","159,608","11,962.3",7.49
Energy Plus Holdings LLC,PA,Power Marketer,"22,670","280,219","31,202.2",11.13
"Energy Services Providers, Inc",PA,Power Marketer,"19,126","169,336","12,926.5",7.63
First Energy Solutions Corp.,PA,Power Marketer,"307,660","3,579,076","249,862.4",6.98
GEXA Corp.,PA,Power Marketer,"2,592","28,330","2,261.9",7.98
Gateway Energy Services Corp,PA,Power Marketer,"21,698","245,971","22,399.0",9.11
Glacial Energy Holdings,PA,Power Marketer,1,"4,200",331.2,7.89
Green Mountain Energy Company,PA,Power Marketer,"1,640","2,891",272.4,9.42
"HOP Energy, LLC",PA,Power Marketer,"3,444","39,554","3,258.6",8.24
Hudson Energy Services,PA,Power Marketer,113,"5,706",463.1,8.12
"IDT Energy, Inc.",PA,Power Marketer,"106,146","722,993","52,921.0",7.32
Independence Energy Group LLC,PA,Power Marketer,"1,563","11,609","1,127.2",9.71
"Integrys Energy Services, Inc.",PA,Power Marketer,2,1,0.1,10.00
Just Energy,PA,Power Marketer,"3,268","27,526","2,240.6",8.14
Liberty Power Corp.,PA,Power Marketer,"7,055","58,205","4,867.0",8.36
"MxEnergy Electric, Inc.",PA,Power Marketer,"35,464","422,125","34,561.0",8.19
PPL EnergyPlus LLC,PA,Power Marketer,"67,865","1,077,069","82,552.0",7.66
"Palmco Power PA, LLC",PA,Power Marketer,"13,749","117,000","12,689.0",10.85
"Plymouth Rock Energy, LLC",PA,Power Marketer,757,665,58.9,8.86
Public Power LLC (PA),PA,Power Marketer,"11,704","108,043","10,063.7",9.31
Reliant Energy Northeast LLC,PA,Power Marketer,"17,532","205,616","14,793.7",7.19
"Spark Energy, LP",PA,Power Marketer,"25,377","302,957","27,356.0",9.03
"Stream Energy Pennsylvania, LLC",PA,Power Marketer,"97,437","1,123,493","88,227.0",7.85
The Energy Coop,PA,Cooperative,"4,080","35,663","3,716.0",10.42
"TriEagle Energy, L.P.",PA,Power Marketer,"9,777","66,317","4,842.0",7.30
"UGI Energy Services, Inc.",PA,Power Marketer,33,168,12.1,7.20
Viridian Energy PA LLC,PA,Power Marketer,"12,616","128,463","11,449.4",8.91
Washington Gas Energy Services,PA,Power Marketer,"22,452","235,997","19,781.0",8.38
Glacial Energy Holdings,RI,Power Marketer,828,"2,499",192.3,7.70
"Integrys Energy Services, Inc.",RI,Power Marketer,8,105,7.8,7.43
Adjustment 2012,CA,Other,"1,478","11,671",926.8,.
Adjustment 2012,CT,Other,"178,141","1,688,562","149,619.6",.
Adjustment 2012,DC,Other,"6,957","124,745","11,400.7",.
Adjustment 2012,DE,Other,"2,139","59,963","5,501.4",.
Adjustment 2012,IL,Other,"66,088","1,431,747","79,373.9",.
Adjustment 2012,MA,Other,"2,455","-94,919","-7,544.8",.
Adjustment 2012,MD,Other,"49,002","821,911","73,844.7",.
Adjustment 2012,ME,Other,"-120,321","-99,196","-7,023.7",.
Adjustment 2012,MI,Other,58,761,56.9,.
Adjustment 2012,MT,Other,15,119,7.4,.
Adjustment 2012,NH,Other,"-8,560","12,992",990.1,.
Adjustment 2012,NJ,Other,"109,981","1,265,820","132,066.2",.
Adjustment 2012,NY,Other,"193,390","1,125,508","94,811.1",.
Adjustment 2012,OH,Other,"94,769","1,719,982","103,681.8",.
Adjustment 2012,PA,Other,"188,997","2,100,428","163,834.5",.
Adjustment 2012,RI,Other,"4,119","44,456","3,406.4",.
