Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
Green Mountain Energy Company,IL,Power Marketer,"25,322","183,018","18,232.70",9.96
"HIKO Energy, LLC",IL,Power Marketer,997,"6,796",697.8,10.27
Homefield Energy,IL,Power Marketer,"567,576","5,467,544","329,545.60",6.03
"IDT Energy, Inc.",IL,Power Marketer,"40,307","227,904","25,108.40",11.02
"Inspire Energy Holdings, LLC",IL,Power Marketer,777,"1,530",136.8,8.94
"Interstate Gas Supply, Inc.",IL,Power Marketer,"37,659","303,208","25,754.00",8.49
Liberty Power Corp.,IL,Power Marketer,"59,556","347,756","37,713.00",10.84
"LifeEnergy, LLC",IL,Power Marketer,"1,135","7,034",576.6,8.2
"MC Squared Energy Services, LLC",IL,Power Marketer,"23,932","260,750","17,559.00",6.73
Major Energy Electric Services,IL,Power Marketer,"1,957","13,215","1,315.00",9.95
"Mega Energy of Illinois, LLC",IL,Power Marketer,"7,670","61,629","5,437.80",8.82
"MidAmerican Energy Services, LLC",IL,Power Marketer,"15,111","157,238","10,674.40",6.79
"Nordic Energy Services, LLC",IL,Power Marketer,"29,897","249,045","17,007.70",6.83
"North American Power and Gas, LLC",IL,Power Marketer,"5,251","41,066","5,363.20",13.06
"Oasis Power, LLC",IL,Power Marketer,"4,601","32,189","3,096.60",9.62
"Palmco Power IL, LLC",IL,Power Marketer,"10,509","48,809","4,798.00",9.83
Park Power LLC,IL,Power Marketer,235,"1,780",115.8,6.51
"Plymouth Rock Energy, LLC",IL,Power Marketer,"1,701","8,349",765.9,9.17
Public Power LLC (CT),IL,Power Marketer,"4,297","32,528","3,493.80",10.74
"Realgy, LLC",IL,Power Marketer,"23,476","230,384","13,183.00",5.72
Reliant Energy Northeast LLC,IL,Power Marketer,"59,700","445,458","41,393.90",9.29
"ResCom Energy, LLC",IL,Power Marketer,10,27,4.4,16.3
"Residents Energy, LLC",IL,Power Marketer,"11,831","100,509","8,887.40",8.84
Santanna Energy Services,IL,Power Marketer,"17,135","156,878","11,246.60",7.17
"SmartEnergy Holdings, LLC",IL,Power Marketer,"17,395","100,342","7,719.00",7.69
Source Power & Gas LLC,IL,Power Marketer,17,169,11.5,6.8
"Spark Energy, LP",IL,Power Marketer,"31,653","233,268","26,175.00",11.22
Sperian Energy Corp,IL,Power Marketer,"9,829","77,570","7,267.30",9.37
"Star Energy Partners, LLC",IL,Power Marketer,"17,839","129,002","11,812.10",9.16
"Starion Energy PA, Inc.",IL,Power Marketer,"21,358","133,655","12,401.40",9.28
"Stream Energy Illinois, LLC",IL,Power Marketer,864,516,35.6,6.9
Verde Energy USA,IL,Power Marketer,"13,116","91,657","8,487.20",9.26
Viridian Energy PA LLC,IL,Power Marketer,"12,930","105,513","9,764.70",9.25
"Vista Energy Marketing, L.P.",IL,Power Marketer,825,"2,863",244,8.52
"XOOM Energy Illinois, LLC",IL,Power Marketer,"23,531","174,444","15,371.20",8.81
"Abest Power & Gas, LLC",MA,Power Marketer,640,"1,949",205,10.52
Agera Energy LLC,MA,Power Marketer,"43,943","297,765","29,793.00",10.01
"Ambit Energy Holdings, LLC",MA,Power Marketer,"15,671","123,070","12,385.70",10.06
"CleanChoice Energy, Inc.",MA,Power Marketer,"11,547","52,085","8,315.60",15.97
Clearview Electric Inc.,MA,Power Marketer,"14,442","80,716","9,736.00",12.06
Consolidated Edison Sol Inc,MA,Power Marketer,"96,030","870,868","83,645.60",9.6
Constellation Energy Power Choice Inc.,MA,Power Marketer,"4,257","30,107","3,092.70",10.27
"Constellation Energy Services, Inc.",MA,Power Marketer,236,"4,609",411.4,8.93
"Constellation NewEnergy, Inc",MA,Power Marketer,"129,043","1,067,689","104,927.00",9.83
Direct Energy Services,MA,Power Marketer,"41,521","302,672","37,275.50",12.32
Discount Power Inc - (CT),MA,Power Marketer,"5,290","44,842","6,253.60",13.95
"Dynegy Energy Services, LLC",MA,Power Marketer,"66,666","164,651","17,848.40",10.84
"ENGIE Retail, LLC",MA,Power Marketer,"12,532","116,307","12,388.90",10.65
"Eligo Energy, LLC",MA,Power Marketer,"8,047","57,076","5,721.30",10.02
Energy Plus Holdings LLC,MA,Power Marketer,"4,206","27,946","4,601.40",16.47
"Energy Services Providers, Inc.",MA,Power Marketer,"13,506","106,675","12,220.50",11.46
"First Point Power, LLC",MA,Power Marketer,"2,054","22,957","2,481.10",10.81
Great Eastern Energy,MA,Power Marketer,387,"27,365","2,650.00",9.68
Green Mountain Energy Company,MA,Power Marketer,"2,738","15,851","2,289.00",14.44
Hampshire COG d/b/a Hampshire Power,MA,Power Marketer,"11,964","74,569","7,270.60",9.75
"Horizon Power and Light, LLC",MA,Power Marketer,"2,292","10,338","1,197.00",11.58
"Inspire Energy Holdings, LLC",MA,Power Marketer,"8,147","51,170","6,233.00",12.18
Just Energy,MA,Power Marketer,"21,410","148,709","18,953.80",12.75
Liberty Power Corp.,MA,Power Marketer,"30,992","142,126","22,474.00",15.81
Major Energy Electric Services,MA,Power Marketer,"18,349","100,068","13,822.00",13.81
"Mega Energy of New England, LLC",MA,Power Marketer,"2,379","15,387","1,983.60",12.89
"Nordic Energy Services, LLC",MA,Power Marketer,125,"1,090",102.9,9.44
"Oasis Power, LLC",MA,Power Marketer,"7,280","48,674","6,083.80",12.5
"Palmco Power MA, LLC",MA,Power Marketer,"13,762","60,831","8,868.30",14.58
"Perigee Energy, LLC",MA,Power Marketer,544,"2,004",242,12.08
"Provider Power MASS, LLC",MA,Power Marketer,"4,117","32,445","3,447.00",10.62
Public Power LLC (CT),MA,Power Marketer,"21,279","155,516","14,070.70",9.05
Reliant Energy Northeast LLC,MA,Power Marketer,"48,282","327,715","47,476.00",14.49
"SFE Energy Massachusetts, Inc.",MA,Power Marketer,"15,945","86,611","8,255.00",9.53
"SmartEnergy Holdings, LLC",MA,Power Marketer,"8,040","47,882","5,748.00",12
"Spark Energy, LP",MA,Power Marketer,"8,726","107,497","14,222.10",13.23
"Starion Energy, Inc.",MA,Power Marketer,"41,999","263,391","35,343.80",13.42
"Summer Energy Northeast, LLC",MA,Power Marketer,"2,009","1,838",212,11.53
"Sunwave Gas & Power Connecticut, Inc.",MA,Power Marketer,"1,313","11,093","1,107.00",9.98
Town Square Energy,MA,Power Marketer,"9,465","55,582","6,725.00",12.1
Verde Energy USA,MA,Power Marketer,"30,374","220,043","26,894.20",12.22
Viridian Energy LLC,MA,Power Marketer,"46,842","356,108","44,150.50",12.4
"XOOM Energy Massachusetts, LLC",MA,Power Marketer,"7,809","53,430","6,437.00",12.05
AP Holdings LLC,MD,Power Marketer,391,"5,038",213,4.23
Agera Energy LLC,MD,Power Marketer,429,"5,982",510,8.53
"Ambit Energy Holdings, LLC",MD,Power Marketer,"15,294","182,333","19,995.90",10.97
Aspirity Energy LLC,MD,Power Marketer,23,73,7.3,10
"CleanChoice Energy, Inc.",MD,Power Marketer,"13,666","116,886","14,315.90",12.25
Clearview Electric Inc.,MD,Power Marketer,"12,548","82,309","8,253.00",10.03
"Commerce Energy, Inc.",MD,Power Marketer,"22,187","211,229","19,542.30",9.25
Consolidated Edison Sol Inc,MD,Power Marketer,"6,051","117,731","9,417.50",8
Constellation Energy Power Choice Inc.,MD,Power Marketer,"10,985","109,761","9,766.40",8.9
"Constellation NewEnergy, Inc",MD,Power Marketer,"93,929","1,242,707","108,154.00",8.7
Direct Energy Services,MD,Power Marketer,"32,198","343,379","36,273.00",10.56
"Discount Energy Group, LLC",MD,Power Marketer,355,"4,151",443.5,10.68
Discount Power Inc - (CT),MD,Power Marketer,110,669,59.1,8.83
"ENGIE Retail, LLC",MD,Power Marketer,"2,840","29,931","2,371.50",7.92
"Eligo Energy, LLC",MD,Power Marketer,68,"1,137",96,8.44
Energy Plus Holdings LLC,MD,Power Marketer,"5,225","59,207","8,706.30",14.7
"Energy Services Providers, Inc.",MD,Power Marketer,"15,451","184,407","16,784.20",9.1
Energy.Me Midwest LLC,MD,Power Marketer,50,659,52,7.89
Entrust Energy,MD,Power Marketer,2,6,0.5,8.33
First Energy Solutions Corp.,MD,Power Marketer,809,"12,777",887.6,6.95
"First Point Power, LLC",MD,Power Marketer,7,204,15.4,7.55
"Great American Power, LLC",MD,Power Marketer,"1,003","10,168","1,075.50",10.58
Green Mountain Energy Company,MD,Power Marketer,"6,039","64,182","7,337.60",11.43
Greenlight Energy Inc.,MD,Power Marketer,463,"3,698",368,9.95
"HIKO Energy, LLC",MD,Power Marketer,"1,760","12,590","1,601.50",12.72
"Horizon Power and Light, LLC",MD,Power Marketer,"1,607","21,857","2,552.00",11.68
"IDT Energy, Inc.",MD,Power Marketer,"15,640","127,216","16,066.10",12.63
"Inspire Energy Holdings, LLC",MD,Power Marketer,"8,841","80,080","9,671.90",12.08
"Interstate Gas Supply, Inc.",MD,Power Marketer,"3,284","29,513","2,816.00",9.54
Liberty Power Corp.,MD,Power Marketer,"2,399","21,120","2,709.00",12.83
"LifeEnergy, LLC",MD,Power Marketer,146,"7,034",576.6,8.2
MPower Energy NJ LLC,MD,Power Marketer,"1,459","9,542",987,10.34
Major Energy Electric Services,MD,Power Marketer,"6,535","45,533","5,724.00",12.57
"MidAmerican Energy Services, LLC",MD,Power Marketer,481,"6,976",548.6,7.86
"NextEra Energy Services, LLC",MD,Power Marketer,95,"1,283",110.5,8.61
"Nordic Energy Services, LLC",MD,Power Marketer,32,208,17.2,8.27
"North American Power and Gas, LLC",MD,Power Marketer,"5,991","75,234","7,622.40",10.13
"Oasis Power, LLC",MD,Power Marketer,"5,289","52,771","7,117.30",13.49
"Palmco Power MD, LLC",MD,Power Marketer,"5,006","32,153","4,114.80",12.8
Park Power LLC,MD,Power Marketer,946,"9,027","1,082.10",11.99
Planet Energy,MD,Power Marketer,30,267,27.4,10.26
"Plymouth Rock Energy, LLC",MD,Power Marketer,732,"3,908",435.8,11.15
"Public Power & Utility of Maryland, LLC",MD,Power Marketer,"4,858","49,356","5,808.90",11.77
Reliant Energy Northeast LLC,MD,Power Marketer,"20,184","238,766","26,586.00",11.13
"SFE Energy Maryland, Inc",MD,Power Marketer,"9,974","88,469","7,633.00",8.63
"Shipley Choice, LLC",MD,Power Marketer,913,"10,729",970.4,9.04
"SmartEnergy Holdings, LLC",MD,Power Marketer,"1,480","4,893",432,8.83
Source Power & Gas LLC,MD,Power Marketer,16,197,18.3,9.29
"Spark Energy, LP",MD,Power Marketer,"3,131","57,925","4,692.90",8.1
Sperian Energy Corp,MD,Power Marketer,"2,754","32,758","3,046.60",9.3
Spring Power & Gas,MD,Power Marketer,"1,455","11,916","1,348.00",11.31
"Star Energy Partners, LLC",MD,Power Marketer,"8,179","57,293","5,649.80",9.86
"Starion Energy PA, Inc.",MD,Power Marketer,"3,554","34,227","4,873.30",14.24
"Stream Energy Maryland, LLC",MD,Power Marketer,"8,883","106,590","11,288.30",10.59
"Talen Energy Marketing, LLC",MD,Power Marketer,12,145,11.5,7.93
Viridian Energy PA LLC,MD,Power Marketer,"5,504","61,809","7,074.20",11.45
"WGL Energy Services, Inc.",MD,Power Marketer,"52,347","552,758","47,346.00",8.57
"XOOM Energy Maryland, LLC",MD,Power Marketer,"18,218","187,515","17,659.20",9.42
Agera Energy LLC,ME,Power Marketer,258,"2,455",191,7.78
"Ambit Energy Holdings, LLC",ME,Power Marketer,"6,536","51,083","3,867.80",7.57
"C. N. Brown Electricity, LLC",ME,Power Marketer,"1,039","7,009",619.2,8.83
Clearview Electric Inc.,ME,Power Marketer,"17,996","56,151","6,104.00",10.87
"Constellation Energy Services, Inc.",ME,Power Marketer,154,"1,658",118.6,7.15
"Constellation NewEnergy, Inc",ME,Power Marketer,47,874,55,6.29
"ENGIE Retail, LLC",ME,Power Marketer,"4,037","31,376","2,066.90",6.59
"Electricity Maine, LLC",ME,Power Marketer,"67,295","474,743","46,942.00",9.89
FairPoint Energy LLC,ME,Power Marketer,"9,749","57,837","4,893.30",8.46
"First Point Power, LLC",ME,Power Marketer,197,"1,503",116.5,7.75
"Mega Energy of Maine, LLC",ME,Power Marketer,10,95,10.4,10.95
"North American Power and Gas, LLC",ME,Power Marketer,"3,779","28,310","3,117.40",11.01
"XOOM Energy Maine, LLC",ME,Power Marketer,"1,407","10,378",953.7,9.19
Agera Energy LLC,NH,Power Marketer,"1,272","10,800","1,136.00",10.52
"Ambit Energy Holdings, LLC",NH,Power Marketer,"3,722","27,861","2,769.30",9.94
Clearview Electric Inc.,NH,Power Marketer,"8,820","21,602","3,052.00",14.13
"Constellation Energy Services, Inc.",NH,Power Marketer,742,"4,130",326.7,7.91
"Constellation NewEnergy, Inc",NH,Power Marketer,287,"3,283",270,8.22
Direct Energy Services,NH,Power Marketer,"12,890","93,058","7,486.60",8.05
"ENGIE Retail, LLC",NH,Power Marketer,"1,290","8,352",750.7,8.99
"Electricity NH, LLC d/b/a ENH Power, LLC",NH,Power Marketer,"33,091","268,663","26,196.00",9.75
FairPoint Energy LLC,NH,Power Marketer,"7,897","47,865","5,058.40",10.57
"First Point Power, LLC",NH,Power Marketer,"3,414","31,468","2,796.70",8.89
"Horizon Power and Light, LLC",NH,Power Marketer,87,442,44,9.95
"Mega Energy of New Hampshire, LLC",NH,Power Marketer,648,"4,545",509.3,11.21
"North American Power and Gas, LLC",NH,Power Marketer,"36,702","292,160","31,425.70",10.76
PNE Energy Supply LLC,NH,Power Marketer,"1,129","4,268",394.8,9.25
"SmartEnergy Holdings, LLC",NH,Power Marketer,"2,015","9,691","1,114.00",11.5
"Summer Energy Northeast, LLC",NH,Power Marketer,249,135,12,8.89
Town Square Energy,NH,Power Marketer,"5,770","34,770","3,458.40",9.95
"XOOM Energy New Hampshire, LLC",NH,Power Marketer,"1,838","11,610","1,148.20",9.89
AEP Energy,NJ,Power Marketer,"1,228","14,333","1,345.00",9.38
AP Holdings LLC,NJ,Power Marketer,958,"8,799",421,4.78
Agera Energy LLC,NJ,Power Marketer,399,"3,186",355,11.14
"Alpha Gas and Electric, LLC",NJ,Power Marketer,"2,190","15,702","2,413.00",15.37
"Ambit Energy Holdings, LLC",NJ,Power Marketer,"18,353","183,083","22,580.90",12.33
American Power & Gas,NJ,Power Marketer,"2,433","30,322","4,458.60",14.7
Astral Energy LLC,NJ,Power Marketer,"1,970","19,337","2,856.00",14.77
Censtar Energy Corporation,NJ,Power Marketer,113,"2,054",183,8.91
Champion Energy Services,NJ,Power Marketer,234,"2,327",284,12.2
"Choice Energy, LLC d/b/a 4 Choice Energy",NJ,Power Marketer,"3,315","24,227","3,145.70",12.98
"CleanChoice Energy, Inc.",NJ,Power Marketer,"3,738","24,339","3,859.30",15.86
Clearview Electric Inc.,NJ,Power Marketer,"8,016","51,397","6,013.00",11.7
"Commerce Energy, Inc.",NJ,Power Marketer,"4,134","39,457","4,591.80",11.64
Consolidated Edison Sol Inc,NJ,Power Marketer,"3,192","44,319","3,175.50",7.17
Constellation Energy Power Choice Inc.,NJ,Power Marketer,"1,172","9,323","1,260.90",13.52
"Constellation Energy Services, Inc.",NJ,Power Marketer,"17,489","84,179","8,113.60",9.64
"Constellation NewEnergy, Inc",NJ,Power Marketer,"11,756","103,367","10,043.00",9.72
Direct Energy Services,NJ,Power Marketer,"23,902","202,370","28,668.00",14.17
"Discount Energy Group, LLC",NJ,Power Marketer,516,"3,407",389.5,11.43
"ENGIE Retail, LLC",NJ,Power Marketer,"1,184","6,874",709,10.31
"East Coast Power & Gas, LLC",NJ,Power Marketer,15,369,33.2,9
Energy Plus Holdings LLC,NJ,Power Marketer,"13,328","113,731","17,364.40",15.27
"Energy Services Providers, Inc.",NJ,Power Marketer,"4,672","42,463","4,940.60",11.64
Energy.Me Midwest LLC,NJ,Power Marketer,36,665,69,10.38
Entrust Energy,NJ,Power Marketer,41,147,14.6,9.93
Everyday Energy LLC,NJ,Power Marketer,"1,164","9,263","1,099.90",11.87
First Energy Solutions Corp.,NJ,Power Marketer,307,"3,410",323.3,9.48
"First Point Power, LLC",NJ,Power Marketer,63,964,81.6,8.46
"Frontier Utilities, Inc.",NJ,Power Marketer,"2,231","16,441","2,098.20",12.76
Great Eastern Energy,NJ,Power Marketer,276,"21,369","1,758.70",8.23
Green Mountain Energy Company,NJ,Power Marketer,"1,556","13,412","1,834.80",13.68
Greenlight Energy Inc.,NJ,Power Marketer,616,"4,710",488.7,10.38
"HIKO Energy, LLC",NJ,Power Marketer,"3,746","24,182","3,143.50",13
"Harborside Energy, LLC",NJ,Power Marketer,"1,240","5,711",864.3,15.13
"IDT Energy, Inc.",NJ,Power Marketer,"23,075","162,398","19,431.50",11.97
"Inspire Energy Holdings, LLC",NJ,Power Marketer,"20,684","166,569","23,427.10",14.06
Liberty Power Corp.,NJ,Power Marketer,"3,220","17,665","2,485.00",14.07
"LifeEnergy, LLC",NJ,Power Marketer,969,"6,434",690.1,10.73
MPower Energy NJ LLC,NJ,Power Marketer,"2,979","16,568","2,098.90",12.67
Marathon Power LLC,NJ,Power Marketer,348,"3,567",341.6,9.58
"NextEra Energy Services, LLC",NJ,Power Marketer,733,"8,567","1,002.40",11.7
"Nordic Energy Services, LLC",NJ,Power Marketer,250,"1,940",194.4,10.02
"North American Power and Gas, LLC",NJ,Power Marketer,"18,410","184,767","24,717.90",13.38
"Oasis Power, LLC",NJ,Power Marketer,"1,349","8,408","1,081.00",12.86
"Palmco Power NJ, LLC",NJ,Power Marketer,"4,347","21,860","3,404.00",15.57
"Plymouth Rock Energy, LLC",NJ,Power Marketer,"2,886","12,700","1,671.10",13.16
Reliant Energy Northeast LLC,NJ,Power Marketer,"13,496","128,287","13,662.10",10.65
"ResCom Energy, LLC",NJ,Power Marketer,72,406,64.6,15.91
"Residents Energy, LLC",NJ,Power Marketer,"2,273","15,080","2,125.20",14.09
Respond Power LLC,NJ,Power Marketer,"11,586","90,161","10,986.00",12.18
"SFE Energy New Jersey, Inc.",NJ,Power Marketer,"4,841","40,641","3,712.00",9.13
"SmartEnergy Holdings, LLC",NJ,Power Marketer,762,"4,480",584,13.04
Source Power & Gas LLC,NJ,Power Marketer,8,46,5.1,11.09
