Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
3 Phases Renewables Inc,CA,Power Marketer,89,705,50,7.09
Apple Valley Choice Energy,CA,"Community ChoiceAggregator","23,084","128,571","8,256.00",6.42
CleanPowerSF,CA,"Community ChoiceAggregator","69,796","230,750","16,368.40",7.09
"Commerce Energy, Inc.",CA,Power Marketer,"7,251","57,369","4,454.30",7.76
Lancaster Choice Energy,CA,"Community ChoiceAggregator","45,966","351,397","22,488.00",6.4
Marin Clean Energy,CA,"Community ChoiceAggregator","231,733","1,755,077","120,367.00",6.86
Peninsula Clean Energy Authority,CA,"Community ChoiceAggregator","192,797","960,688","61,291.00",6.38
Pico Rivera Innovative Municipal Energy,CA,"Community ChoiceAggregator","14,179","13,393","7,322.00",54.67
Redwood Coast Energy Authority,CA,"Community ChoiceAggregator","46,822","209,196","13,705.70",6.55
Silicon Valley Clean Energy Authority,CA,"Community ChoiceAggregator","148,076","566,049","38,197.00",6.75
Sonoma Clean Power Authority,CA,"Community ChoiceAggregator","183,547","1,165,090","77,358.10",6.64
"Abest Power & Gas, LLC",CT,Power Marketer,"3,155","10,328",945,9.15
Aequitas Energy Inc,CT,Power Marketer,"1,855","21,259","1,963.00",9.23
Agera Energy LLC,CT,Power Marketer,"1,854","15,225","1,288.00",8.46
"Ambit Energy Holdings, LLC",CT,Power Marketer,"39,862","346,895","29,936.20",8.63
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Power Marketer,"3,330","19,000","2,835.90",14.93
Clearview Electric Inc.,CT,Power Marketer,"14,116","79,557","8,216.00",10.33
Consolidated Edison Sol Inc,CT,Power Marketer,"13,029","143,728","10,107.50",7.03
Constellation Energy Power Choice Inc.,CT,Power Marketer,656,"6,492",540.1,8.32
"Constellation Energy Services, Inc.",CT,Power Marketer,665,"4,112",316.6,7.7
"Constellation NewEnergy, Inc",CT,Power Marketer,"33,834","326,635","26,977.00",8.26
Direct Energy Services,CT,Power Marketer,"38,258","302,889","29,317.80",9.68
Discount Power Inc - (CT),CT,Power Marketer,"16,519","138,561","11,467.00",8.28
"ENGIE Retail, LLC",CT,Power Marketer,"13,411","134,134","10,314.80",7.69
"Eligo Energy, LLC",CT,Power Marketer,1,46,4.9,10.65
Energy Plus Holdings LLC,CT,Power Marketer,"2,774","22,185","3,227.50",14.55
"Energy Services Providers, Inc.",CT,Power Marketer,"4,021","34,892","3,286.80",9.42
Everyday Energy LLC,CT,Power Marketer,5,41,3.5,8.54
"HIKO Energy, LLC",CT,Power Marketer,"2,833","19,121","1,904.40",9.96
Liberty Power Corp.,CT,Power Marketer,"16,195","90,806","11,746.00",12.94
Major Energy Electric Services,CT,Power Marketer,198,988,132,13.36
"Mega Energy of New England, LLC",CT,Power Marketer,827,"6,414",574.9,8.96
"North American Power and Gas, LLC",CT,Power Marketer,"30,567","292,804","29,467.80",10.06
"Palmco Power CT, LLC",CT,Power Marketer,826,"3,851",438.4,11.38
"Perigee Energy, LLC",CT,Power Marketer,"7,910","56,240","4,054.00",7.21
Public Power LLC (CT),CT,Power Marketer,"47,440","451,296","38,823.30",8.6
Reliant Energy Northeast LLC,CT,Power Marketer,"7,337","60,067","7,744.10",12.89
"Spark Energy, LP",CT,Power Marketer,"15,808","339,978","28,592.30",8.41
"Starion Energy, Inc.",CT,Power Marketer,"14,565","86,648","9,211.50",10.63
"Sunwave Gas & Power Connecticut, Inc.",CT,Power Marketer,"18,047","185,407","13,719.00",7.4
Town Square Energy,CT,Power Marketer,"24,272","233,030","17,831.30",7.65
Verde Energy USA,CT,Power Marketer,"17,202","146,727","14,743.40",10.05
Viridian Energy LLC,CT,Power Marketer,"7,034","59,047","6,534.30",11.07
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"5,720","43,057","3,948.70",9.17
Agera Energy LLC,DC,Power Marketer,48,267,23,8.61
"Ambit Energy Holdings, LLC",DC,Power Marketer,654,"5,876",643.6,10.95
"CleanChoice Energy, Inc.",DC,Power Marketer,"6,657","49,187","6,252.80",12.71
Clearview Electric Inc.,DC,Power Marketer,879,"4,917",575,11.69
Consolidated Edison Sol Inc,DC,Power Marketer,95,"3,401",162.5,4.78
"Constellation NewEnergy, Inc",DC,Power Marketer,"3,421","37,079","3,065.00",8.27
Direct Energy Services,DC,Power Marketer,873,"7,360",731.6,9.94
"ENGIE Retail, LLC",DC,Power Marketer,5,55,5.2,9.45
"Eligo Energy, LLC",DC,Power Marketer,237,"2,164",200.5,9.27
"Energy Services Providers, Inc.",DC,Power Marketer,971,"8,666",834.2,9.63
Energy.Me Midwest LLC,DC,Power Marketer,3,14,1,7.14
"Horizon Power and Light, LLC",DC,Power Marketer,368,"3,850",524,13.61
"IDT Energy, Inc.",DC,Power Marketer,"4,726","36,887","5,011.40",13.59
Liberty Power Corp.,DC,Power Marketer,321,"2,398",300,12.51
"LifeEnergy, LLC",DC,Power Marketer,176,833,68,8.16
Major Energy Electric Services,DC,Power Marketer,"1,923","13,654","1,493.00",10.93
"MidAmerican Energy Services, LLC",DC,Power Marketer,6,82,5.3,6.46
"NextEra Energy Services, LLC",DC,Power Marketer,156,"1,758",164.7,9.37
"Palmco Power DC, LLC",DC,Power Marketer,291,197,18.6,9.44
Public Power LLC (CT),DC,Power Marketer,"1,596","13,512","1,679.90",12.43
Reliant Energy Northeast LLC,DC,Power Marketer,251,"2,052",229.6,11.19
"Renaissance Power & Gas, Inc.",DC,Power Marketer,627,"4,769",474.2,9.94
"Star Energy Partners, LLC",DC,Power Marketer,"1,559","12,479","1,233.80",9.89
"Starion Energy PA, Inc.",DC,Power Marketer,907,"5,879","1,015.50",17.27
"Stream Energy Columbia, LLC",DC,Power Marketer,817,"6,975",617.5,8.85
Viridian Energy PA LLC,DC,Power Marketer,320,"2,954",298.7,10.11
"WGL Energy Services, Inc.",DC,Power Marketer,"4,557","41,526","3,730.00",8.98
"XOOM Energy Washington DC, LLC",DC,Power Marketer,"1,192","10,061",876.9,8.72
Agera Energy LLC,DE,Power Marketer,47,739,53,7.17
"Ambit Energy Holdings, LLC",DE,Power Marketer,765,"8,495",946.5,11.14
"CleanChoice Energy, Inc.",DE,Power Marketer,432,"4,151",556.6,13.41
Clearview Electric Inc.,DE,Power Marketer,"2,822","22,253","2,375.00",10.67
"Commerce Energy, Inc.",DE,Power Marketer,"5,672","69,529","6,415.90",9.23
"Constellation NewEnergy, Inc",DE,Power Marketer,945,"10,036",809,8.06
Direct Energy Services,DE,Power Marketer,"7,972","83,885","7,463.00",8.9
"ENGIE Retail, LLC",DE,Power Marketer,159,"1,417",116.8,8.24
Energy.Me Midwest LLC,DE,Power Marketer,4,58,5,8.62
"First Point Power, LLC",DE,Power Marketer,65,825,107.2,12.99
Liberty Power Corp.,DE,Power Marketer,5,7,1.4,20
"LifeEnergy, LLC",DE,Power Marketer,"3,228","17,743","1,618.20",9.12
"MidAmerican Energy Services, LLC",DE,Power Marketer,7,141,10.5,7.45
"NextEra Energy Services, LLC",DE,Power Marketer,600,"6,805",784.2,11.52
"Perigee Energy, LLC",DE,Power Marketer,1,26,2,7.69
Reliant Energy Northeast LLC,DE,Power Marketer,275,"2,762",275,9.96
"ResCom Energy, LLC",DE,Power Marketer,116,"1,011",160.7,15.9
"SmartEnergy Holdings, LLC",DE,Power Marketer,"1,122","8,693",999,11.49
"Starion Energy PA, Inc.",DE,Power Marketer,187,"1,410",201.6,14.3
"Stream Energy Delaware, LLC",DE,Power Marketer,94,6,0.5,8.33
Viridian Energy PA LLC,DE,Power Marketer,529,"5,909",633.2,10.72
"WGL Energy Services, Inc.",DE,Power Marketer,"3,903","37,328","3,214.00",8.61
"XOOM Energy Delaware, LLC",DE,Power Marketer,915,"9,912",991.7,10.01
AEP Energy,IL,Power Marketer,"6,278","64,614","4,252.00",6.58
Agera Energy LLC,IL,Power Marketer,90,"1,704",99,5.81
"Ambit Energy Holdings, LLC",IL,Power Marketer,"55,907","505,581","38,813.90",7.68
American Power & Gas,IL,Power Marketer,"1,595","9,729",941.7,9.68
Aspirity Energy LLC,IL,Power Marketer,"6,834","33,196","2,781.70",8.38
Champion Energy Services,IL,Power Marketer,"2,473","24,975","1,907.00",7.64
"CleanChoice Energy, Inc.",IL,Power Marketer,"15,044","80,631","9,144.50",11.34
Clearview Electric Inc.,IL,Power Marketer,"25,513","181,289","15,343.00",8.46
"Commerce Energy, Inc.",IL,Power Marketer,"34,161","276,814","22,218.90",8.03
Consolidated Edison Sol Inc,IL,Power Marketer,832,"9,543",615.6,6.45
"Constellation Energy Services, Inc.",IL,Power Marketer,"154,032","912,158","62,278.30",6.83
"Constellation NewEnergy, Inc",IL,Power Marketer,"113,207","1,051,279","72,686.00",6.91
Direct Energy Services,IL,Power Marketer,"88,039","735,986","72,836.10",9.9
