2014 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
3 Phases Renewables,CA,Power Marketer,106,893,50.0,5.60
"Commerce Energy, Inc.",CA,Power Marketer,"9,202","83,114","8,285.3",9.97
Marin Clean Energy,CA,Power Marketer,"108,497","598,017","46,270.0",7.74
Sonoma Clean Power Authority,CA,Power Marketer,"23,358","78,149","5,588.9",7.15
"Abest Power & Gas, LLC",CT,Power Marketer,"33,887","31,665","2,663.2",8.41
"Ambit Energy Holdings, LLC",CT,Power Marketer,"26,600","263,433","24,470.0",9.29
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Power Marketer,"7,522","71,104","12,089.0",17.00
Consolidated Edison Sol Inc,CT,Power Marketer,"24,078","296,437","25,630.1",8.65
Constellation Energy Power Choice Inc.,CT,Power Marketer,"19,705","173,831","20,205.0",11.62
"Constellation Energy Services, Inc.",CT,Power Marketer,278,"4,399",364.0,8.27
Direct Energy Services,CT,Power Marketer,"74,307","655,750","72,430.8",11.05
Dominion Retail Inc,CT,Power Marketer,"37,798","328,859","29,650.7",9.02
Energy Plus Holdings LLC,CT,Power Marketer,"15,437","137,719","19,908.0",14.46
"Energy Services Providers, Inc",CT,Power Marketer,"5,762","60,028","5,760.1",9.60
"HOP Energy, LLC",CT,Power Marketer,"2,455","21,033","2,461.6",11.70
Independence Energy Group LLC,CT,Power Marketer,408,"1,882",299.0,15.89
Liberty Power Corp.,CT,Power Marketer,"4,682","23,547","2,592.0",11.01
"Mega Energy of New England, LLC",CT,Power Marketer,5,22,2.0,9.09
"North American Power and Gas, LLC",CT,Power Marketer,"52,679","523,155","72,408.0",13.84
"Palmco Power CT, LLC",CT,Power Marketer,"11,686","71,338","10,942.0",15.34
Public Power LLC (CT),CT,Power Marketer,"66,452","572,271","79,012.5",13.81
Reliant Energy Northeast LLC,CT,Power Marketer,"45,265","424,672","45,150.0",10.63
"Spark Energy, LP",CT,Power Marketer,"10,999","96,811","11,501.1",11.88
"Sunwave Gas & Power Connecticut, Inc.",CT,Power Marketer,"8,116","23,536","2,340.0",9.94
Town Square Energy,CT,Power Marketer,"7,192","24,002","7,164.1",29.85
Viridian Energy LLC,CT,Power Marketer,"17,818","173,442","21,579.9",12.44
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"6,171","52,030","6,683.4",12.85
"Ambit Energy Holdings, LLC",DC,Power Marketer,459,"4,572",425.3,9.30
American Power Partners LLC,DC,Power Marketer,175,626,97.6,15.59
"Constellation NewEnergy, Inc",DC,Power Marketer,"3,794","40,286","3,675.0",9.12
Direct Energy Services,DC,Power Marketer,62,212,21.0,9.91
"Energy Services Providers, Inc",DC,Power Marketer,209,"1,277",118.5,9.28
Energy.Me Midwest LLC,DC,Power Marketer,1,4,0.3,7.50
"Ethical Electric, Inc.",DC,Power Marketer,"2,216","9,451","1,091.8",11.55
Glacial Energy Holdings,DC,Power Marketer,86,"1,219",205.1,16.83
MidAmerican Energy Co,DC,Investor Owned,106,"3,960",330.9,8.36
"NextEra Energy Services, LLC",DC,Power Marketer,295,"3,475",325.7,9.37
Public Power LLC (CT),DC,Power Marketer,"4,390","37,507","4,370.3",11.65
Reliant Energy Northeast LLC,DC,Power Marketer,154,"1,507",148.0,9.82
"Stream Energy Columbia, LLC",DC,Power Marketer,660,"5,775",536.0,9.28
Viridian Energy PA LLC,DC,Power Marketer,354,"3,043",375.9,12.35
"WGL Energy Services, Inc.",DC,Power Marketer,"6,256","59,707","5,633.0",9.43
"Ambit Energy Holdings, LLC",DE,Power Marketer,"1,030","12,301","1,342.2",10.91
"Commerce Energy, Inc.",DE,Power Marketer,"8,803","94,650","9,293.3",9.82
Direct Energy Services,DE,Power Marketer,6,13,1.3,10.00
"Ethical Electric, Inc.",DE,Power Marketer,"1,227","7,178","1,074.4",14.97
Glacial Energy Holdings,DE,Power Marketer,15,671,90.8,13.53
Liberty Power Corp.,DE,Power Marketer,20,"8,440",733.0,8.68
"NextEra Energy Services, LLC",DE,Power Marketer,"2,262","30,565","3,005.3",9.83
Reliant Energy Northeast LLC,DE,Power Marketer,199,"2,461",251.0,10.20
"SmartEnergy Holdings, LLC",DE,Power Marketer,380,551,55.0,9.98
Viridian Energy PA LLC,DE,Power Marketer,"1,522","21,237","2,684.8",12.64
"WGL Energy Services, Inc.",DE,Power Marketer,"6,104","65,374","6,066.0",9.28
"XOOM Energy Delaware, LLC",DE,Power Marketer,"1,238","12,000","1,337.4",11.15
AEP Energy,IL,Power Marketer,"3,960","39,616","2,423.0",6.12
"Ambit Energy Holdings, LLC",IL,Power Marketer,"38,317","375,920","28,144.8",7.49
Champion Energy Services,IL,Power Marketer,"3,827","40,335","2,786.0",6.91
"Commerce Energy, Inc.",IL,Power Marketer,"21,844","159,499","13,177.3",8.26
"Constellation Energy Services, Inc.",IL,Power Marketer,"824,655","5,208,659","354,997.0",6.82
"Constellation NewEnergy, Inc",IL,Power Marketer,"161,106","1,516,401","92,374.4",6.09
Direct Energy Services,IL,Power Marketer,"143,542","1,372,161","98,317.2",7.17
Dominion Retail Inc,IL,Power Marketer,"11,990","77,035","5,249.3",6.81
"Eligo Energy, LLC",IL,Power Marketer,"11,675","78,520","5,874.2",7.48
Energy Plus Holdings LLC,IL,Power Marketer,"36,861","306,550","36,223.0",11.82
"Energy Services Providers, Inc",IL,Power Marketer,"25,589","231,687","17,712.6",7.65
Energy.Me Midwest LLC,IL,Power Marketer,"113,664","121,677","6,531.4",5.37
Entrust Energy,IL,Power Marketer,"2,095","14,889","1,174.0",7.89
"Ethical Electric, Inc.",IL,Power Marketer,"2,820","11,709","1,192.0",10.18
Everyday Energy LLC,IL,Power Marketer,833,"7,054",502.5,7.12
First Energy Solutions Corp.,IL,Power Marketer,"477,853","4,492,034","227,638.8",5.07
Green Mountain Energy Company,IL,Power Marketer,"24,959","190,336","16,176.4",8.50
Homefield Energy,IL,Power Marketer,"677,675","5,726,072","347,820.0",6.07
"IDT Energy, Inc.",IL,Power Marketer,"10,581","58,596","5,415.0",9.24
Independence Energy Group LLC,IL,Power Marketer,"8,070","29,564","3,657.0",12.37
Liberty Power Corp.,IL,Power Marketer,"52,019","352,573","27,928.0",7.92
"MC Squared Energy Services, LLC",IL,Power Marketer,"100,348","1,506,622","86,601.0",5.75
MidAmerican Energy Co,IL,Investor Owned,"4,689","43,591","3,039.2",6.97
"Nordic Energy Services, LLC",IL,Power Marketer,"25,944","304,962","18,931.0",6.21
"North American Power and Gas, LLC",IL,Power Marketer,"12,144","104,375","12,343.0",11.83
"Palmco Power IL, LLC",IL,Power Marketer,"7,684","60,643","7,546.0",12.44
"Plymouth Rock Energy, LLC",IL,Power Marketer,"2,593","11,822","1,004.0",8.49
Public Power LLC (CT),IL,Power Marketer,"9,648","75,692","7,780.5",10.28
"Realgy, LLC",IL,Power Marketer,"4,364","48,810","2,490.0",5.10
Reliant Energy Northeast LLC,IL,Power Marketer,"13,799","109,714","9,817.0",8.95
Respond Power LLC,IL,Power Marketer,"2,545","14,622","1,985.0",13.58
Source Power & Gas LLC,IL,Power Marketer,1,4,0.3,7.50
"Spark Energy, LP",IL,Power Marketer,"51,849","333,676","30,694.2",9.20
Sperian Energy Corp,IL,Power Marketer,"7,140","108,056","9,506.6",8.80
Viridian Energy PA LLC,IL,Power Marketer,"22,818","193,889","17,866.8",9.21
"XOOM Energy Illinois, LLC",IL,Power Marketer,"16,262","120,840","11,136.2",9.22
"Abest Power & Gas, LLC",MA,Power Marketer,29,33,3.6,10.91
Consolidated Edison Sol Inc,MA,Power Marketer,"139,421","1,011,360","89,980.8",8.90
Constellation Energy Power Choice Inc.,MA,Power Marketer,"9,053","80,908","8,983.0",11.10
"Constellation Energy Services, Inc.",MA,Power Marketer,143,"2,625",238.0,9.07
Direct Energy Services,MA,Power Marketer,"19,530","140,188","18,819.0",13.42
Dominion Retail Inc,MA,Power Marketer,"68,497","444,090","41,746.0",9.40
Energy Plus Holdings LLC,MA,Power Marketer,"8,256","61,627","9,046.0",14.68
"Energy Services Providers, Inc",MA,Power Marketer,"3,694","23,841","2,213.2",9.28
"HOP Energy, LLC",MA,Power Marketer,364,"2,814",281.8,10.01
Just Energy,MA,Power Marketer,"69,553","478,415","60,934.6",12.74
Liberty Power Corp.,MA,Power Marketer,"2,492","10,518","1,477.0",14.04
Major Energy Electric Services,MA,Power Marketer,"7,433","22,731","2,099.0",9.23
"Mega Energy of New England, LLC",MA,Power Marketer,"1,138","8,017",838.8,10.46
"Palmco Power MA, LLC",MA,Power Marketer,"4,371","2,138",154.0,7.20
"Provider Power MASS, LLC",MA,Power Marketer,"1,784","14,428","1,254.7",8.70
Public Power LLC (CT),MA,Power Marketer,"2,763","16,628","1,668.1",10.03
"REP Energy, LLC",MA,Power Marketer,"5,451","33,305","6,077.7",18.25
Reliant Energy Northeast LLC,MA,Power Marketer,"70,223","646,636","72,490.0",11.21
"Spark Energy, LP",MA,Power Marketer,"1,281","9,789","1,187.4",12.13
Viridian Energy LLC,MA,Power Marketer,"25,742","213,544","24,365.3",11.41
"XOOM Energy Massachusetts, LLC",MA,Power Marketer,"4,137","30,629","4,135.4",13.50
AP Holdings LLC,MD,Power Marketer,696,"10,717",454.0,4.24
