2014 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
"Ambit Energy Holdings, LLC",MD,Power Marketer,"21,196","291,231","30,645.2",10.52
American Power Partners LLC,MD,Power Marketer,"3,430","43,472","5,722.1",13.16
"Blue Pilot Energy, LLC",MD,Power Marketer,236,"3,287",793.0,24.13
"Commerce Energy, Inc.",MD,Power Marketer,"23,753","234,269","25,534.5",10.90
Consolidated Edison Sol Inc,MD,Power Marketer,"15,489","243,151","19,943.5",8.20
Constellation Energy Power Choice Inc.,MD,Power Marketer,"106,486","1,444,646","132,482.0",9.17
Direct Energy Services,MD,Power Marketer,"38,838","479,399","49,197.8",10.26
"Discount Energy Group, LLC",MD,Power Marketer,746,"5,734",537.0,9.37
Dominion Retail Inc,MD,Power Marketer,"18,403","233,853","20,708.0",8.86
Energy Plus Holdings LLC,MD,Power Marketer,"11,617","157,106","23,915.0",15.22
"Energy Services Providers, Inc",MD,Power Marketer,"4,285","57,044","7,160.6",12.55
Energy.Me Midwest LLC,MD,Power Marketer,145,402,33.7,8.38
Entrust Energy,MD,Power Marketer,"1,996","19,352","1,864.0",9.63
"Ethical Electric, Inc.",MD,Power Marketer,"6,706","37,129","4,552.1",12.26
First Energy Solutions Corp.,MD,Power Marketer,"7,657","130,955","8,280.4",6.32
Glacial Energy Holdings,MD,Power Marketer,"1,096","13,003","1,214.7",9.34
"Great American Power, LLC",MD,Power Marketer,"2,568","29,680","4,291.0",14.46
Green Mountain Energy Company,MD,Power Marketer,"3,893","45,694","4,740.2",10.37
"IDT Energy, Inc.",MD,Power Marketer,"20,044","182,046","21,435.0",11.77
Liberty Power Corp.,MD,Power Marketer,"5,376","52,289","5,129.0",9.81
MidAmerican Energy Co,MD,Investor Owned,91,"1,681",124.8,7.42
"NextEra Energy Services, LLC",MD,Power Marketer,232,"3,463",290.8,8.40
"North American Power and Gas, LLC",MD,Power Marketer,"10,130","106,046","13,641.3",12.86
"Palmco Power MD, LLC",MD,Power Marketer,"5,178","48,475","9,018.4",18.60
"Plymouth Rock Energy, LLC",MD,Power Marketer,686,"3,599",376.0,10.45
"Public Power & Utility of Maryland, LLC",MD,Power Marketer,"10,878","121,977","15,757.3",12.92
Reliant Energy Northeast LLC,MD,Power Marketer,"19,879","253,698","23,569.0",9.29
Respond Power LLC,MD,Power Marketer,"8,309","64,989","9,010.0",13.86
"SFE Energy Maryland, Inc",MD,Power Marketer,"2,311","18,778","1,655.8",8.82
Source Power & Gas LLC,MD,Power Marketer,14,134,11.7,8.73
"Spark Energy, LP",MD,Power Marketer,"3,777","39,091","4,367.8",11.17
Sperian Energy Corp,MD,Power Marketer,113,730,72.0,9.86
"Stream Energy Maryland, LLC",MD,Power Marketer,"12,727","173,081","18,838.0",10.88
Viridian Energy PA LLC,MD,Power Marketer,"11,702","152,125","23,049.9",15.15
"WGL Energy Services, Inc.",MD,Power Marketer,"88,207","1,077,458","94,462.0",8.77
"XOOM Energy Maryland, LLC",MD,Power Marketer,"18,918","189,992","23,299.5",12.26
"C. N. Brown Electricity, LLC",ME,Power Marketer,"1,333","10,020",779.3,7.78
"CECG Maine, LLC",ME,Power Marketer,"131,035","826,557","56,738.0",6.86
"Constellation Energy Services, Inc.",ME,Power Marketer,388,"3,655",273.2,7.47
"Electricity Maine, LLC",ME,Power Marketer,"132,213","1,016,516","81,511.6",8.02
FairPoint Energy LLC,ME,Power Marketer,"18,708","109,959","11,711.9",10.65
Liberty Power Corp.,ME,Power Marketer,269,"4,731",306.0,6.47
"Mega Energy of Maine, LLC",ME,Power Marketer,6,26,2.4,9.23
NEPM II,ME,Power Marketer,"136,951","162,257","11,675.1",7.20
New Brunswick Power Generation Corp.,ME,Power Marketer,"547,433","1,963,787","125,175.7",6.37
NextEra Energy Power Marketing,ME,Power Marketer,"135,055","859,679","78,857.3",9.17
"North American Power and Gas, LLC",ME,Power Marketer,"7,677","68,195","6,010.0",8.81
Union Atlantic Electricity,ME,Power Marketer,388,"2,844",195.0,6.86
"XOOM Energy Maine, LLC",ME,Power Marketer,"2,697","14,838","1,813.5",12.22
Glacial Energy Holdings,MI,Power Marketer,37,517,37.8,7.31
"Ambit Energy Holdings, LLC",NH,Power Marketer,354,"2,881",236.0,8.19
"Constellation Energy Services, Inc.",NH,Power Marketer,606,"3,870",296.3,7.66
"Electricity NH, LLC d/b/a ENH Power, LLC",NH,Power Marketer,"52,564","416,257","34,446.9",8.28
FairPoint Energy LLC,NH,Power Marketer,"10,930","73,869","8,729.3",11.82
Glacial Energy Holdings,NH,Power Marketer,"2,252","21,012","1,959.4",9.33
"Mega Energy of New Hampshire, LLC",NH,Power Marketer,376,"1,410",128.6,9.12
"North American Power and Gas, LLC",NH,Power Marketer,"39,706","298,730","33,621.0",11.25
PNE Energy Supply LLC,NH,Power Marketer,339,901,76.0,8.44
"XOOM Energy New Hampshire, LLC",NH,Power Marketer,464,"2,862",303.3,10.60
AEP Energy,NJ,Power Marketer,"1,182","14,700","1,376.0",9.36
AP Holdings LLC,NJ,Power Marketer,209,"2,629",124.0,4.72
"Alpha Gas and Electric, LLC",NJ,Power Marketer,"45,039","27,114","4,254.0",15.69
"Ambit Energy Holdings, LLC",NJ,Power Marketer,"34,097","365,391","41,414.2",11.33
Astral Energy LLC,NJ,Power Marketer,"4,549","24,640","3,181.1",12.91
Champion Energy Services,NJ,Power Marketer,394,"3,351",413.0,12.32
"Choice Energy, LLC d/b/a 4 Choice Energy",NJ,Power Marketer,"6,469","55,492","6,324.0",11.40
"Commerce Energy, Inc.",NJ,Power Marketer,"11,820","88,183","10,884.0",12.34
Consolidated Edison Sol Inc,NJ,Power Marketer,"22,115","204,466","17,422.9",8.52
Constellation Energy Power Choice Inc.,NJ,Power Marketer,"3,356","25,717","3,505.0",13.63
"Constellation Energy Services, Inc.",NJ,Power Marketer,2,37,3.3,8.92
"Constellation NewEnergy, Inc",NJ,Power Marketer,"16,503","161,636","19,213.5",11.89
Direct Energy Services,NJ,Power Marketer,"48,690","475,528","58,527.1",12.31
"Discount Energy Group, LLC",NJ,Power Marketer,"3,686","29,714","2,694.9",9.07
Dominion Retail Inc,NJ,Power Marketer,"22,556","212,728","21,057.0",9.90
Energy Plus Holdings LLC,NJ,Power Marketer,"29,298","281,203","45,604.0",16.22
"Energy Services Providers, Inc",NJ,Power Marketer,"7,499","65,255","9,535.4",14.61
Energy.Me Midwest LLC,NJ,Power Marketer,60,"1,547",163.5,10.57
Entrust Energy,NJ,Power Marketer,550,"1,767",220.0,12.45
"Ethical Electric, Inc.",NJ,Power Marketer,"2,969","14,545","2,093.8",14.40
First Energy Solutions Corp.,NJ,Power Marketer,"1,901","17,140","1,550.1",9.04
Glacial Energy Holdings,NJ,Power Marketer,"1,899","14,909","1,552.7",10.41
"HOP Energy, LLC",NJ,Power Marketer,233,"1,963",195.6,9.96
"Harborside Energy, LLC",NJ,Power Marketer,"2,735","7,973","1,301.0",16.32
Hudson Energy Services,NJ,Power Marketer,2,2,0.7,35.00
"IDT Energy, Inc.",NJ,Power Marketer,"10,861","76,791","11,303.0",14.72
Independence Energy Group LLC,NJ,Power Marketer,262,939,188.0,20.02
Liberty Power Corp.,NJ,Power Marketer,"3,112","16,427","2,044.0",12.44
Marathon Power LLC,NJ,Power Marketer,53,452,52.0,11.50
"NextEra Energy Services, LLC",NJ,Power Marketer,"3,077","29,582","2,727.5",9.22
"North American Power and Gas, LLC",NJ,Power Marketer,"31,111","322,326","51,546.7",15.99
"Palmco Power NJ, LLC",NJ,Power Marketer,"13,197","76,005","15,996.0",21.05
"Plymouth Rock Energy, LLC",NJ,Power Marketer,"5,505","24,294","3,055.0",12.58
Public Power & Utility - New Jersey,NJ,Power Marketer,"16,439","131,102","19,779.2",15.09
Reliant Energy Northeast LLC,NJ,Power Marketer,"10,341","227,807","24,169.0",10.61
Respond Power LLC,NJ,Power Marketer,"5,882","43,683","5,771.0",13.21
"SmartEnergy Holdings, LLC",NJ,Power Marketer,"1,517","1,827",214.0,11.71
"Spark Energy, LP",NJ,Power Marketer,"2,578","18,848","2,823.9",14.98
Sperian Energy Corp,NJ,Power Marketer,177,"3,259",421.5,12.93
"Stream Energy New Jersey, LLC",NJ,Power Marketer,"24,718","236,021","27,461.0",11.63
"TriEagle Energy, L.P.",NJ,Power Marketer,"14,808","105,711","10,766.1",10.18
Viridian Energy PA LLC,NJ,Power Marketer,"52,748","506,124","78,778.4",15.57
"XOOM Energy New Jersey, LLC",NJ,Power Marketer,"9,343","78,728","11,714.9",14.88
AP Holdings LLC,NY,Power Marketer,"3,273","26,324","2,749.0",10.44
"Abest Power & Gas, LLC",NY,Power Marketer,676,456,38.0,8.33
"Accent Energy Holdings, LLC",NY,Power Marketer,"20,901","87,631","13,852.7",15.81
"Agway Energy Services, LLC",NY,Power Marketer,"37,921","292,261","34,638.0",11.85
"Alpha Gas and Electric, LLC",NY,Power Marketer,"161,690","84,084","13,220.0",15.72
"Ambit Energy Holdings, LLC",NY,Power Marketer,"193,934","1,880,375","218,583.0",11.62
Astral Energy LLC,NY,Power Marketer,"1,949","10,560","1,133.7",10.74
BluCo Energy LLC,NY,Power Marketer,"1,568","12,979","1,674.2",12.90
"Bounce Energy, Inc.",NY,Power Marketer,"2,124","5,599",532.5,9.51
"Columbia Utilities Power, LLC",NY,Power Marketer,"8,193","42,526","10,150.0",23.87
Consolidated Edison Sol Inc,NY,Power Marketer,"34,515","217,270","23,536.5",10.83
Constellation Energy Power Choice Inc.,NY,Power Marketer,"16,310","125,588","13,512.0",10.76
"Constellation Energy Services NY, Inc.",NY,Power Marketer,"1,655","36,250","2,630.0",7.26
Direct Energy Services,NY,Power Marketer,"177,777","1,521,626","149,114.7",9.80
Dominion Retail Inc,NY,Power Marketer,475,"2,274",285.1,12.54
"Eligo Energy, LLC",NY,Power Marketer,"6,602","48,560","4,308.6",8.87
"Energy Coop of New York, Inc",NY,Power Marketer,"3,440","103,253","7,584.6",7.35
Energy Plus Holdings LLC,NY,Power Marketer,"31,186","193,016","31,303.0",16.22
"Energy Services Providers, Inc",NY,Power Marketer,"36,102","308,538","35,605.9",11.54
"EnergyMark, LLC",NY,Power Marketer,961,"7,697",537.8,6.99
Entrust Energy,NY,Power Marketer,"1,512","8,021",909.8,11.34
"Ethical Electric, Inc.",NY,Power Marketer,"2,032","7,357",868.1,11.80
Everyday Energy LLC,NY,Power Marketer,"2,834","25,296","2,538.8",10.04
"Family Energy, Inc. New York",NY,Power Marketer,"37,160","227,005","24,082.5",10.61
Glacial Energy Holdings,NY,Power Marketer,"1,114","13,133","1,375.9",10.48
Green Mountain Energy Company,NY,Power Marketer,"51,708","222,192","33,346.3",15.01
Hudson Energy Services,NY,Power Marketer,"14,212","83,078","9,237.9",11.12
"IDT Energy, Inc.",NY,Power Marketer,"110,185","521,395","82,926.0",15.90
Independence Energy Group LLC,NY,Power Marketer,618,"1,635",257.0,15.72
Just Energy New York Corp.,NY,Power Marketer,"120,742","843,735","97,066.7",11.50
Kiwi Energy NY LLC,NY,Power Marketer,"53,050","250,252","43,320.2",17.31
Liberty Power Corp.,NY,Power Marketer,"19,562","77,171","9,576.0",12.41
MPower Energy LLC,NY,Power Marketer,"441,983","144,008","23,747.0",16.49
Major Energy Electric Services,NY,Power Marketer,"29,062","244,830","33,179.0",13.55
Marathon Power LLC,NY,Power Marketer,639,"10,662",895.0,8.39
NOCO Electric,NY,Power Marketer,"11,733","106,295","7,989.0",7.52
"North American Power and Gas, LLC",NY,Power Marketer,"25,256","253,216","28,703.9",11.34
"Plymouth Rock Energy, LLC",NY,Power Marketer,"8,225","37,564","5,066.0",13.49
Public Power LLC (CT),NY,Power Marketer,"12,159","66,106","9,549.0",14.44
Reliant Energy Northeast LLC,NY,Power Marketer,297,"5,252",515.0,9.81
"Robison Energy, LLC",NY,Power Marketer,"2,508","46,164","4,684.0",10.15
"SBR Energy, LLC",NY,Power Marketer,"1,753","7,691",962.0,12.51
"Spark Energy, LP",NY,Power Marketer,"15,342","69,944","9,905.0",14.16
Sperian Energy Corp,NY,Power Marketer,351,"2,235",309.0,13.83
"Stream Energy New York, LLC",NY,Power Marketer,"5,752","40,158","3,714.0",9.25
U.S. Energy Partners LLC,NY,Power Marketer,"2,151","17,490","1,411.0",8.07
Village of Hilton - (NY),NY,Power Marketer,"1,243","3,168",250.0,7.89
Viridian Energy NY LLC,NY,Power Marketer,"40,528","357,320","37,953.5",10.62
"XOOM Energy New York, LLC",NY,Power Marketer,"30,071","159,750","23,982.2",15.01
AEP Energy,OH,Power Marketer,"155,914","2,004,539","140,510.0",7.01
AP Holdings LLC,OH,Power Marketer,"12,911","224,725","8,975.0",3.99
"Border Energy, Inc",OH,Power Marketer,"44,640","574,891","38,216.0",6.65
"Choice Energy, LLC d/b/a 4 Choice Energy",OH,Power Marketer,"1,690","16,143","1,169.0",7.24
Cincinnati Bell Energy LLC,OH,Power Marketer,"13,805","169,804","11,395.9",6.71
"Commerce Energy, Inc.",OH,Power Marketer,"40,538","370,370","34,477.9",9.31
"Constellation Energy Services, Inc.",OH,Power Marketer,"12,038","143,864","8,867.0",6.16
"Constellation NewEnergy, Inc",OH,Power Marketer,"22,623","225,547","14,625.6",6.48
DPL Energy Resources,OH,Power Marketer,"135,777","1,858,681","116,975.0",6.29
Direct Energy Services,OH,Power Marketer,"39,512","430,200","32,533.7",7.56
"Discount Energy Group, LLC",OH,Power Marketer,183,"2,147",124.1,5.78
Dominion Retail Inc,OH,Power Marketer,"21,298","282,221","22,212.4",7.87
"Duke Energy Retail Sales, LLC",OH,Power Marketer,"93,241","1,258,302","73,013.8",5.80
"Eligo Energy, LLC",OH,Power Marketer,"2,313","27,451","1,621.6",5.91
Energy Plus Holdings LLC,OH,Power Marketer,"1,375","17,479","2,057.0",11.77
"Energy Services Providers, Inc",OH,Power Marketer,181,"1,781",140.1,7.87
Energy.Me Midwest LLC,OH,Power Marketer,"2,376","3,185",217.1,6.82
Entrust Energy,OH,Power Marketer,"2,686","30,411","1,918.0",6.31
"Ethical Electric, Inc.",OH,Power Marketer,14,48,4.3,8.96
Everyday Energy LLC,OH,Power Marketer,"1,553","17,062","1,395.7",8.18
First Energy Solutions Corp.,OH,Power Marketer,"1,429,876","13,964,059","875,707.8",6.27
Glacial Energy Holdings,OH,Power Marketer,"5,502","61,656","4,193.9",6.80
Independence Energy Group LLC,OH,Power Marketer,196,946,117.0,12.37
"Interstate Gas Supply, Inc.",OH,Power Marketer,"127,462","1,281,282","95,604.3",7.46
Liberty Power Corp.,OH,Power Marketer,"1,810","10,088",880.0,8.72
"Nordic Energy Services, LLC",OH,Power Marketer,"5,010","27,226","1,700.7",6.25
"North American Power and Gas, LLC",OH,Power Marketer,"9,340","117,600","9,484.5",8.07
"Palmco Power OH, LLC",OH,Power Marketer,854,"9,685","1,233.0",12.73
"Plymouth Rock Energy, LLC",OH,Power Marketer,50,147,11.4,7.76
Public Power LLC (CT),OH,Power Marketer,"3,609","40,830","4,258.7",10.43
Reliant Energy Northeast LLC,OH,Power Marketer,"19,756","223,473","22,977.0",10.28
"SmartEnergy Holdings, LLC",OH,Power Marketer,"5,315","30,485","2,386.0",7.83
Source Power & Gas LLC,OH,Power Marketer,14,62,4.6,7.42
Sperian Energy Corp,OH,Power Marketer,"2,397","62,115","4,858.7",7.82
"Star Energy Partners, LLC",OH,Power Marketer,"10,130","80,115","5,081.5",6.34
Titan Gas LLC,OH,Power Marketer,"11,972","36,895","2,444.0",6.62
Viridian Energy PA LLC,OH,Power Marketer,4,3,0.3,10.00
AEP Energy,PA,Power Marketer,"10,525","122,178","10,204.0",8.35
AP Holdings LLC,PA,Power Marketer,"3,800","72,646","2,893.0",3.98
"Alpha Gas and Electric, LLC",PA,Power Marketer,943,645,58.0,8.99
"Ambit Energy Holdings, LLC",PA,Power Marketer,"57,966","748,985","67,924.4",9.07
American Power Partners LLC,PA,Power Marketer,"1,826","23,413","3,247.9",13.87
Anthracite Power & Light,PA,Power Marketer,819,"10,422",834.1,8.00
"Blue Pilot Energy, LLC",PA,Power Marketer,891,"10,583","2,191.0",20.70
"Bounce Energy, Inc.",PA,Power Marketer,"3,604","49,131","4,036.9",8.22
Champion Energy Services,PA,Power Marketer,"9,109","86,228","8,492.0",9.85
"Choice Energy, LLC d/b/a 4 Choice Energy",PA,Power Marketer,"2,230","17,275","1,665.0",9.64
"Commerce Energy, Inc.",PA,Power Marketer,"18,060","155,884","18,422.9",11.82
Consolidated Edison Sol Inc,PA,Power Marketer,"49,070","617,176","45,818.8",7.42
Constellation Energy Power Choice Inc.,PA,Power Marketer,"12,701","149,831","16,739.0",11.17
"Constellation Energy Services, Inc.",PA,Power Marketer,"3,598","34,014","3,021.8",8.88
"Constellation NewEnergy, Inc",PA,Power Marketer,"22,353","233,971","20,216.5",8.64
Direct Energy Services,PA,Power Marketer,"116,948","1,337,885","128,196.0",9.58
"Discount Energy Group, LLC",PA,Power Marketer,"1,296","12,373","1,021.0",8.25
Dominion Retail Inc,PA,Power Marketer,"132,086","1,514,844","125,875.6",8.31
Energy Plus Holdings LLC,PA,Power Marketer,"48,352","524,628","71,093.0",13.55
"Energy Services Providers, Inc",PA,Power Marketer,"64,301","735,357","88,051.6",11.97
Energy.Me Midwest LLC,PA,Power Marketer,357,"1,297",105.7,8.15
Entrust Energy,PA,Power Marketer,"1,123","11,140","1,212.9",10.89
"Ethical Electric, Inc.",PA,Power Marketer,"22,477","111,147","12,327.6",11.09
First Energy Solutions Corp.,PA,Power Marketer,"392,359","4,702,190","324,922.0",6.91
GDF Suez Energy Solutions LLC,PA,Power Marketer,"2,347","60,668","4,949.0",8.16
"Great American Power, LLC",PA,Power Marketer,"10,371","88,446","10,549.0",11.93
Green Mountain Energy Company,PA,Power Marketer,"36,272","317,766","28,408.6",8.94
"HOP Energy, LLC",PA,Power Marketer,"4,916","52,888","4,373.4",8.27
"IDT Energy, Inc.",PA,Power Marketer,"67,252","670,071","83,453.0",12.45
Independence Energy Group LLC,PA,Power Marketer,406,"3,504",637.0,18.18
Just Energy,PA,Power Marketer,"3,535","30,105","3,384.8",11.24
Liberty Power Corp.,PA,Power Marketer,"6,195","47,486","4,834.0",10.18
MidAmerican Energy Co,PA,Investor Owned,40,453,29.8,6.58
