2015 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
3 Phases Renewables,CA,Power Marketer,104,841,79.2,9.42
"Commerce Energy, Inc.",CA,Power Marketer,"8,777","76,513","6,928.6",9.06
Lancaster Choice Energy,CA,Power Marketer,"11,853","49,044","4,086.2",8.33
Marin Clean Energy,CA,Power Marketer,"140,505","1,043,258","86,591.3",8.30
Sonoma Clean Power Authority,CA,Power Marketer,"155,985","980,668","69,970.8",7.14
"Abest Power & Gas, LLC",CT,Power Marketer,"7,577","103,103","10,040.7",9.74
Aequitas Energy Inc,CT,Power Marketer,"6,179","83,534","8,185.0",9.80
Agera Energy LLC,CT,Power Marketer,237,183,17.5,9.56
"Ambit Energy Holdings, LLC",CT,Power Marketer,"37,299","348,310","35,114.0",10.08
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Power Marketer,"5,102","41,285","6,683.5",16.19
Clearview Electric Inc.,CT,Power Marketer,"8,364","56,747","7,846.0",13.83
Consolidated Edison Sol Inc,CT,Power Marketer,"42,606","482,379","45,491.8",9.43
Constellation Energy Power Choice Inc.,CT,Power Marketer,"17,257","168,502","20,512.0",12.17
"Constellation Energy Services, Inc.",CT,Power Marketer,376,"5,688",467.5,8.22
Direct Energy Services,CT,Power Marketer,"46,244","369,173","47,232.2",12.79
"ENGIE Retail, LLC",CT,Power Marketer,"5,613","18,321","1,817.0",9.92
Energy Plus Holdings LLC,CT,Power Marketer,"7,201","67,068","10,108.0",15.07
"Energy Services Providers, Inc",CT,Power Marketer,"3,110","33,604","4,328.4",12.88
Gulf Oil Limited Partnership,CT,Power Marketer,"7,430","80,183","8,209.7",10.24
"HIKO Energy, LLC",CT,Power Marketer,"3,585","25,906","2,875.6",11.10
"HOP Energy, LLC",CT,Power Marketer,40,189,19.3,10.21
Liberty Power Corp.,CT,Power Marketer,"23,355","128,815","15,638.7",12.14
"Mega Energy of New England, LLC",CT,Power Marketer,15,120,11.9,9.92
"North American Power and Gas, LLC",CT,Power Marketer,"32,727","300,831","41,082.0",13.66
"Palmco Power CT, LLC",CT,Power Marketer,"9,346","65,286","9,490.0",14.54
Public Power LLC (CT),CT,Power Marketer,"62,172","572,893","69,521.6",12.14
Reliant Energy Northeast LLC,CT,Power Marketer,"24,529","264,882","33,865.7",12.79
"Spark Energy, LP",CT,Power Marketer,"21,077","239,219","29,147.5",12.18
"Starion Energy, Inc.",CT,Power Marketer,"13,272","93,560","12,644.4",13.51
"Sunwave Gas & Power Connecticut, Inc.",CT,Power Marketer,"14,538","136,715","12,521.0",9.16
Town Square Energy,CT,Power Marketer,"17,131","174,262","15,513.3",8.90
Verde Energy USA,CT,Power Marketer,"33,736","321,485","42,740.0",13.29
Viridian Energy LLC,CT,Power Marketer,"13,971","130,095","16,618.4",12.77
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"5,848","48,781","5,907.3",12.11
Agera Energy LLC,DC,Power Marketer,46,48,4.0,8.33
"Ambit Energy Holdings, LLC",DC,Power Marketer,603,"5,842",565.1,9.67
Clearview Electric Inc.,DC,Power Marketer,842,"5,845",774.0,13.24
Consolidated Edison Sol Inc,DC,Power Marketer,132,"1,317",101.1,7.68
"Constellation NewEnergy, Inc",DC,Power Marketer,"3,832","42,621","3,843.3",9.02
Direct Energy Services,DC,Power Marketer,578,"5,377",518.9,9.65
"Eligo Energy, LLC",DC,Power Marketer,652,"6,423",687.0,10.70
"Energy Services Providers, Inc",DC,Power Marketer,106,"1,033",114.5,11.08
Energy.Me Midwest LLC,DC,Power Marketer,1,5,0.4,8.00
"Ethical Electric, Inc.",DC,Power Marketer,"3,975","32,748","4,165.6",12.72
Glacial Energy Holdings,DC,Power Marketer,50,224,22.0,9.82
Liberty Power Corp.,DC,Power Marketer,541,"4,932",563.1,11.42
MidAmerican Energy Co,DC,Investor Owned,183,"6,984",559.3,8.01
"NextEra Energy Services, LLC",DC,Power Marketer,222,"2,827",267.0,9.44
Public Power LLC (CT),DC,Power Marketer,"2,963","27,519","3,730.5",13.56
Reliant Energy Northeast LLC,DC,Power Marketer,127,"1,164",130.6,11.22
"Starion Energy PA, Inc.",DC,Power Marketer,"1,948","13,094","2,318.5",17.71
"Stream Energy Columbia, LLC",DC,Power Marketer,644,"6,153",572.0,9.30
Viridian Energy PA LLC,DC,Power Marketer,341,"3,505",392.0,11.18
"WGL Energy Services, Inc.",DC,Power Marketer,"6,096","60,419","5,951.0",9.85
"XOOM Energy Washington DC, LLC",DC,Power Marketer,674,"5,960",637.4,10.69
Agera Energy LLC,DE,Power Marketer,3,18,2.0,11.11
"Ambit Energy Holdings, LLC",DE,Power Marketer,"1,033","12,889","1,449.4",11.25
Clearview Electric Inc.,DE,Power Marketer,956,"8,117","1,024.0",12.62
