Entity,State,Ownership,Customers (Count),Sales (Megawatthours),"Revenues (ThousandsDollars)","Average Price(cents/kWh)"
"IDT Energy, Inc.",NY,Retail Power Marketer,"19,705","98,225","19,052.3",19.40
"Inspire Energy Holdings, LLC",NY,Retail Power Marketer,"28,226","198,711","24,477.5",12.32
Josco Energy Corp-  NY,NY,Retail Power Marketer,"4,179","5,547","1,020.0",18.39
Just Energy New York Corp.,NY,Retail Power Marketer,"10,530","71,494","6,736.7",9.42
Kiwi Energy NY LLC,NY,Retail Power Marketer,"10,313","59,342","8,712.0",14.68
MPower Energy LLC,NY,Retail Power Marketer,"31,891","112,702","22,245.4",19.74
Major Energy Electric Services,NY,Retail Power Marketer,"3,240","23,687","2,682.0",11.32
Marathon Power LLC,NY,Retail Power Marketer,"1,659","49,320","5,259.7",10.66
Median Energy Corp.,NY,Retail Power Marketer,"3,081","12,897","2,378.1",18.44
"MidAmerican Energy Services, LLC",NY,Retail Power Marketer,9,202,26.7,13.22
"Mirabito Power & Gas, LLC",NY,Retail Power Marketer,197,"3,365",267.5,7.95
NOCO Electric,NY,Retail Power Marketer,"6,680","86,564","5,857.5",6.77
New Wave Energy Corporation,NY,Retail Power Marketer,"2,960","48,960","4,500.0",9.19
"Nordic Energy Services, LLC",NY,Retail Power Marketer,516,"2,462",307.9,12.51
Northeastern Power and Gas LLC,NY,Retail Power Marketer,"1,445","9,387","1,934.5",20.61
Pay Less Energy LLC,NY,Retail Power Marketer,17,52,9.8,18.85
"Phoenix Energy Group, LLC",NY,Retail Power Marketer,40,194,31.1,16.03
"Power UP Energy, LLC",NY,Retail Power Marketer,7,32,13.3,41.56
Public Power LLC (CT),NY,Retail Power Marketer,"1,521","14,688",921.3,6.27
"Pure Energy USA, LLC",NY,Retail Power Marketer,"4,076","16,007","6,121.0",38.24
Reliant Energy Northeast LLC,NY,Retail Power Marketer,"12,767","105,287","14,805.0",14.06
"Renaissance Power & Gas, Inc.",NY,Retail Power Marketer,"2,823","11,799","2,151.1",18.23
"Residents Energy, LLC",NY,Retail Power Marketer,"4,529","20,710","4,223.9",20.40
"Robison Energy, LLC",NY,Retail Power Marketer,"2,166","40,391","5,560.2",13.77
