Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
3 Phases Renewables,CA,Power Marketer,96,752,66,8.78
CleanPowerSF,CA,,"17,293","32,635","2,367.00",7.25
"Commerce Energy, Inc.",CA,Power Marketer,"7,174","61,851","4,820.60",7.79
Lancaster Choice Energy,CA,,"46,618","335,488","22,264.10",6.64
Marin Clean Energy,CA,,"177,670","1,475,646","116,053.60",7.86
Peninsula Clean Energy Authority,CA,,"33,188","45,213","3,037.70",6.72
Sonoma Clean Power Authority,CA,,"169,659","1,058,518","72,898.40",6.89
"Abest Power & Gas, LLC",CT,Power Marketer,"6,287","68,000","6,071.00",8.93
Aequitas Energy Inc,CT,Power Marketer,"3,485","41,377","3,844.00",9.29
Agera Energy LLC,CT,Power Marketer,471,"5,628",475,8.44
"Ambit Energy Holdings, LLC",CT,Power Marketer,"44,434","404,042","35,966.20",8.9
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Power Marketer,"4,334","30,067","4,067.00",13.53
Clearview Electric Inc.,CT,Power Marketer,"11,000","66,871","7,983.00",11.94
Consolidated Edison Sol Inc,CT,Power Marketer,"35,904","407,341","33,237.50",8.16
Constellation Energy Power Choice Inc.,CT,Power Marketer,"18,376","168,800","16,478.30",9.76
"Constellation Energy Services, Inc.",CT,Power Marketer,675,"6,493",502.7,7.74
"Constellation NewEnergy, Inc",CT,Power Marketer,234,"2,133",187,8.77
Direct Energy Services,CT,Power Marketer,"44,922","360,920","35,097.20",9.72
Discount Power Inc - (CT),CT,Power Marketer,"14,406","127,960","11,789.00",9.21
"ENGIE Retail, LLC",CT,Power Marketer,"11,532","128,551","10,586.00",8.23
Energy Plus Holdings LLC,CT,Power Marketer,"3,875","33,292","4,937.40",14.83
"Energy Services Providers, Inc",CT,Power Marketer,"4,560","38,576","3,620.30",9.38
Everyday Energy LLC,CT,Power Marketer,5,22,1.7,7.73
"HIKO Energy, LLC",CT,Power Marketer,"2,868","19,760","1,747.70",8.84
Liberty Power Corp.,CT,Power Marketer,"18,543","109,317","12,884.00",11.79
Major Energy Electric Services,CT,Power Marketer,229,"1,459",179,12.27
"Mega Energy of New England, LLC",CT,Power Marketer,140,"1,088",113.2,10.4
"North American Power and Gas, LLC",CT,Power Marketer,"35,971","351,587","35,641.00",10.14
"Palmco Power CT, LLC",CT,Power Marketer,"1,733","10,818","2,049.00",18.94
Public Power LLC (CT),CT,Power Marketer,"51,186","493,795","45,885.00",9.29
Reliant Energy Northeast LLC,CT,Power Marketer,"10,519","92,432","12,014.20",13
"Spark Energy, LP",CT,Power Marketer,"16,847","284,793","28,786.50",10.11
"Starion Energy, Inc.",CT,Power Marketer,"13,811","91,955","10,328.10",11.23
"Sunwave Gas & Power Connecticut, Inc.",CT,Power Marketer,"19,947","202,050","15,398.00",7.62
Town Square Energy,CT,Power Marketer,"22,516","237,074","17,973.90",7.58
Verde Energy USA,CT,Power Marketer,"21,490","188,380","19,789.00",10.5
Viridian Energy LLC,CT,Power Marketer,"9,805","86,711","9,316.00",10.74
"XOOM Energy Connecticut, LLC",CT,Power Marketer,"6,100","49,064","4,974.30",10.14
Agera Energy LLC,DC,Power Marketer,46,266,22,8.27
"Ambit Energy Holdings, LLC",DC,Power Marketer,712,"6,852",701.2,10.23
Clearview Electric Inc.,DC,Power Marketer,689,"8,658",639,7.38
Consolidated Edison Sol Inc,DC,Power Marketer,157,"2,377",169.3,7.12
"Constellation NewEnergy, Inc",DC,Power Marketer,"3,513","36,715","3,240.00",8.82
Direct Energy Services,DC,Power Marketer,779,"6,929",680.2,9.82
"ENGIE Retail, LLC",DC,Power Marketer,4,36,3,8.33
"Eligo Energy, LLC",DC,Power Marketer,368,"2,077",205.9,9.91
"Energy Services Providers, Inc",DC,Power Marketer,830,"6,698",586.5,8.76
Energy.Me Midwest LLC,DC,Power Marketer,3,4,0.3,7.5
"Ethical Electric, Inc",DC,Power Marketer,"5,092","41,375","5,368.00",12.97
"IDT Energy, Inc.",DC,Power Marketer,"4,906","28,508","3,238.20",11.36
Liberty Power Corp.,DC,Power Marketer,418,"3,862",443,11.47
Major Energy Electric Services,DC,Power Marketer,"1,269","9,695","1,074.00",11.08
"MidAmerican Energy Services, LLC",DC,Power Marketer,82,"5,073",407.3,8.03
"NextEra Energy Services, LLC",DC,Power Marketer,162,"2,343",219.6,9.37
Public Power LLC (CT),DC,Power Marketer,"2,055","18,214","2,250.00",12.35
"REP Energy, LLC",DC,Power Marketer,420,"4,652",626,13.46
Reliant Energy Northeast LLC,DC,Power Marketer,188,"1,700",185.4,10.91
"Renaissance Power & Gas, Inc.",DC,Power Marketer,476,"3,441",371,10.78
"Starion Energy PA, Inc.",DC,Power Marketer,"1,175","8,695","1,539.70",17.71
"Stream Energy Columbia, LLC",DC,Power Marketer,746,"6,762",614.6,9.09
Viridian Energy PA LLC,DC,Power Marketer,347,"3,334",334,10.02
"WGL Energy Services, Inc.",DC,Power Marketer,"5,283","51,599","4,949.00",9.59
"XOOM Energy Washington DC, LLC",DC,Power Marketer,"1,055","9,329",876.2,9.39
Agera Energy LLC,DE,Power Marketer,32,691,49,7.09
"Ambit Energy Holdings, LLC",DE,Power Marketer,876,"10,325","1,191.20",11.54
Clearview Electric Inc.,DE,Power Marketer,"2,026","15,275","1,684.00",11.02
"Commerce Energy, Inc.",DE,Power Marketer,"8,400","99,873","9,330.00",9.34
"Constellation NewEnergy, Inc",DE,Power Marketer,81,879,72,8.19
Direct Energy Services,DE,Power Marketer,"6,903","70,829","6,472.20",9.14
"ENGIE Retail, LLC",DE,Power Marketer,29,269,21,7.81
Energy.Me Midwest LLC,DE,Power Marketer,4,56,5,8.93
"Ethical Electric, Inc",DE,Power Marketer,514,"5,418",793.8,14.65
"First Point Power, LLC",DE,Power Marketer,90,"1,193",153.1,12.83
Liberty Power Corp.,DE,Power Marketer,8,50,5,10
"MidAmerican Energy Services, LLC",DE,Power Marketer,7,102,9.1,8.92
"NextEra Energy Services, LLC",DE,Power Marketer,791,"11,538","1,250.30",10.84
Reliant Energy Northeast LLC,DE,Power Marketer,138,"1,619",202.8,12.53
"ResCom Energy, LLC",DE,Power Marketer,165,"1,508",240.3,15.94
"SmartEnergy Holdings, LLC",DE,Power Marketer,907,"8,300","1,019.00",12.28
"Starion Energy PA, Inc.",DE,Power Marketer,268,"2,201",313.7,14.25
Viridian Energy PA LLC,DE,Power Marketer,700,"7,912",883,11.16
"WGL Energy Services, Inc.",DE,Power Marketer,"4,626","47,537","4,471.00",9.41
"XOOM Energy Delaware, LLC",DE,Power Marketer,911,"10,467","1,103.00",10.54
AEP Energy,IL,Power Marketer,"7,152","74,843","4,842.00",6.47
Agera Energy LLC,IL,Power Marketer,25,"2,442",158.1,6.47
"Ambit Energy Holdings, LLC",IL,Power Marketer,"53,964","502,607","38,118.60",7.58
Aspirity Energy LLC,IL,Power Marketer,"5,834","12,073",941.9,7.8
Champion Energy Services,IL,Power Marketer,"3,153","35,422","2,678.00",7.56
Clearview Electric Inc.,IL,Power Marketer,"14,789","107,743","9,548.00",8.86
"Commerce Energy, Inc.",IL,Power Marketer,"34,103","270,040","22,827.20",8.45
Consolidated Edison Sol Inc,IL,Power Marketer,"1,104","12,906",833.9,6.46
"Constellation Energy Services, Inc.",IL,Power Marketer,"260,982","2,439,081","168,670.90",6.92
"Constellation NewEnergy, Inc",IL,Power Marketer,"75,378","748,334","52,577.00",7.03
Direct Energy Services,IL,Power Marketer,"96,475","853,872","74,375.30",8.71
"Dynegy Energy Services, LLC",IL,Power Marketer,"158,086","1,522,632","99,943.00",6.56
"ENGIE Retail, LLC",IL,Power Marketer,110,939,65,6.92
"Eligo Energy, LLC",IL,Power Marketer,"30,663","286,516","21,197.20",7.4
Energy Plus Holdings LLC,IL,Power Marketer,"29,742","260,972","34,387.40",13.18
"Energy Services Providers, Inc",IL,Power Marketer,"22,404","210,909","17,524.50",8.31
Energy.Me Midwest LLC,IL,Power Marketer,"3,766","46,812","3,262.00",6.97
Entrust Energy,IL,Power Marketer,"6,492","45,988","3,693.00",8.03
"Ethical Electric, Inc",IL,Power Marketer,"12,882","79,430","7,914.00",9.96
Everyday Energy LLC,IL,Power Marketer,"1,703","15,743",972,6.17
First Energy Solutions Corp.,IL,Power Marketer,"85,857","844,411","52,882.20",6.26
Green Mountain Energy Company,IL,Power Marketer,"19,522","149,981","15,805.70",10.54
"HIKO Energy, LLC",IL,Power Marketer,"1,262","9,153",903.2,9.87
Homefield Energy,IL,Power Marketer,"687,202","6,525,985","387,917.70",5.94
"IDT Energy, Inc.",IL,Power Marketer,"49,110","285,646","26,102.50",9.14
"Interstate Gas Supply, Inc.",IL,Power Marketer,"49,349","420,930","34,769.00",8.26
Iron Energy LLC dba Kona Energy,IL,Power Marketer,"1,456","6,596",465.5,7.06
Liberty Power Corp.,IL,Power Marketer,"64,292","408,790","40,552.00",9.92
"MC Squared Energy Services, LLC",IL,Power Marketer,"30,830","453,923","30,693.00",6.76
Major Energy Electric Services,IL,Power Marketer,"2,451","15,836","1,473.00",9.3
"Mega Energy of Illinois, LLC",IL,Power Marketer,"2,822","18,543","1,529.80",8.25
"MidAmerican Energy Services, LLC",IL,Power Marketer,"33,777","310,982","21,940.10",7.06
