Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
3 Phases Renewables Inc,CA,Retail Power Marketer,86,554,33,5.96
Apple Valley Choice Energy,CA,Community Choice Aggregator,"22,928","185,293","13,704.00",7.4
BPROUD,CA,Community Choice Aggregator,"10,342","15,507",996,6.42
Central Coast Community Energy,CA,Community Choice Aggregator,"243,731","1,204,488","90,635.00",7.52
City of Solana Beach,CA,Community Choice Aggregator,"6,255","30,882","2,042.00",6.61
Clean Power Alliance of Southern Califor,CA,Community Choice Aggregator,"690,355","5,532,622","405,415.60",7.33
CleanPowerSF,CA,Community Choice Aggregator,"348,509","1,289,325","106,208.50",8.24
"Commerce Energy, Inc.",CA,Retail Power Marketer,"4,883","40,784","5,492.00",13.47
Desert Community Energy,CA,Community Choice Aggregator,"26,176","192,689","14,650.00",7.6
East Bay Community Energy,CA,Community Choice Aggregator,"503,981","2,473,446","204,871.50",8.28
King City Community Power,CA,Community Choice Aggregator,"2,728","11,367",942,8.29
Lancaster Choice Energy,CA,Community Choice Aggregator,"45,285","357,608","26,972.00",7.54
Marin Clean Energy,CA,Community Choice Aggregator,"429,076","2,698,838","232,955.50",8.63
Peninsula Clean Energy Authority,CA,Community Choice Aggregator,"266,938","1,467,752","116,403.70",7.93
Pico Rivera Innovative Municipal Energy,CA,Community Choice Aggregator,"15,311","99,304","7,473.00",7.53
"Pilot Power Group, LLC",CA,Retail Power Marketer,"1,614",995,131.6,13.23
Pioneer Community Energy,CA,Community Choice Aggregator,"80,886","670,599","51,846.00",7.73
Pomona Choice Energy (PCE),CA,Community Choice Aggregator,"23,752","33,229","2,199.00",6.62
Rancho Mirage Energy Authority,CA,Community Choice Aggregator,"12,744","157,722","11,508.00",7.3
Redwood Coast Energy Authority,CA,Community Choice Aggregator,"46,737","325,048","26,509.80",8.16
San Jacinto Power,CA,Community Choice Aggregator,"11,527","112,637","8,389.00",7.45
San Jose Clean Energy,CA,Community Choice Aggregator,"316,058","1,790,192","158,804.90",8.87
Silicon Valley Clean Energy Authority,CA,Community Choice Aggregator,"243,426","1,484,079","118,912.00",8.01
Sonoma Clean Power Authority,CA,Community Choice Aggregator,"196,625","1,261,799","111,098.00",8.8
Valley Clean Energy Alliance,CA,Community Choice Aggregator,"49,221","274,504","22,945.90",8.36
Western Community Energy,CA,Community Choice Aggregator,"79,186","603,568","42,100.00",6.98
Aequitas Energy Inc,CT,Retail Power Marketer,1,0,0,0
Agera Energy LLC,CT,Retail Power Marketer,17,19,1.6,8.42
"Ambit Energy Holdings, LLC",CT,Retail Power Marketer,"24,439","210,398","20,899.00",9.93
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Retail Power Marketer,"2,365","10,167","1,476.30",14.52
Clearview Electric Inc.,CT,Retail Power Marketer,"25,875","250,782","22,083.20",8.81
"Constellation NewEnergy, Inc",CT,Retail Power Marketer,"38,747","360,672","33,422.30",9.27
Direct Energy Services,CT,Retail Power Marketer,"31,245","282,432","26,102.40",9.24
Discount Power Inc - (CT),CT,Retail Power Marketer,"12,004","109,135","11,744.20",10.76
"ENGIE Retail, LLC",CT,Retail Power Marketer,"3,079","30,587","2,981.30",9.75
Energy Plus Holdings LLC,CT,Retail Power Marketer,"1,534","12,184","1,724.00",14.15
"Energy Services Providers, Inc",CT,Retail Power Marketer,"2,001","15,948","1,826.60",11.45
Everyday Energy LLC,CT,Retail Power Marketer,193,"1,426",144.1,10.11
Liberty Power Corp.,CT,Retail Power Marketer,"17,244","117,244","11,636.20",9.92
Major Energy Electric Services,CT,Retail Power Marketer,"1,126","8,881",926,10.43
"Mega Energy of New England, LLC",CT,Retail Power Marketer,"1,210","9,999","1,090.00",10.9
"National Gas & Electric, LLC",CT,Retail Power Marketer,59,"2,172",314.8,14.49
"North American Power and Gas, LLC",CT,Retail Power Marketer,"19,881","184,329","21,344.50",11.58
Public Power LLC (CT),CT,Retail Power Marketer,"29,592","274,531","25,160.90",9.17
Reliant Energy Northeast LLC,CT,Retail Power Marketer,"3,519","30,875","4,036.00",13.07
"Residents Energy, LLC",CT,Retail Power Marketer,349,300,28.6,9.53
"Spark Energy, LP",CT,Retail Power Marketer,385,"3,499",397,11.35
"Starion Energy, Inc.",CT,Retail Power Marketer,"15,008","127,989","10,929.50",8.54
"Sunwave Gas & Power Connecticut, Inc.",CT,Retail Power Marketer,"3,621","35,926","3,733.90",10.39
Town Square Energy,CT,Retail Power Marketer,"42,575","404,080","34,990.30",8.66
Verde Energy USA,CT,Retail Power Marketer,"17,857","134,719","16,825.00",12.49
Viridian Energy LLC,CT,Retail Power Marketer,"2,618","21,119","2,612.90",12.37
"XOOM Energy Connecticut, LLC",CT,Retail Power Marketer,"5,471","39,511","3,989.00",10.1
"Ambit Energy Holdings, LLC",DC,Retail Power Marketer,538,"4,632",442,9.54
