Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
"Nordic Energy Services, LLC",IL,Power Marketer,"76,340","651,668","44,602.70",6.84
"North American Power and Gas, LLC",IL,Power Marketer,"4,678","40,731","5,150.00",12.64
"Oasis Power, LLC",IL,Power Marketer,"2,533","20,347","2,042.00",10.04
"Palmco Power IL, LLC",IL,Power Marketer,"12,316","73,159","6,673.70",9.12
Park Power LLC,IL,Power Marketer,876,"7,162",568,7.93
"Plymouth Rock Energy, LLC",IL,Power Marketer,"1,025","6,823",738.2,10.82
Public Power LLC (CT),IL,Power Marketer,"3,177","25,535","2,724.00",10.67
"Realgy, LLC",IL,Power Marketer,"19,847","218,058","12,239.00",5.61
Reliant Energy Northeast LLC,IL,Power Marketer,"99,940","853,879","83,128.90",9.74
"ResCom Energy, LLC",IL,Power Marketer,6,13,2,15.38
"Residents Energy, LLC",IL,Power Marketer,"23,304","220,514","19,627.80",8.9
Santanna Energy Services,IL,Power Marketer,"14,575","133,731","10,713.20",8.01
"SmartEnergy Holdings, LLC",IL,Power Marketer,"15,692","156,357","12,532.10",8.02
South Bay Energy Corp.,IL,Power Marketer,928,"5,352",480,8.97
"Spark Energy, LP",IL,Power Marketer,"32,106","260,570","35,381.90",13.58
"Star Energy Partners, LLC",IL,Power Marketer,"26,479","237,562","21,292.10",8.96
"Starion Energy PA, Inc.",IL,Power Marketer,"13,533","105,000","11,056.40",10.53
"Stream Energy Illinois, LLC",IL,Power Marketer,"4,674","31,753","2,253.70",7.1
Switch Energy,IL,Power Marketer,352,444,31,6.98
Tomorow Energy Corp.,IL,Power Marketer,"7,279","59,738","6,926.30",11.59
Verde Energy USA,IL,Power Marketer,"4,677","39,376","4,066.00",10.33
Viridian Energy PA LLC,IL,Power Marketer,"9,230","80,516","8,592.40",10.67
"Vista Energy Marketing, L.P.",IL,Power Marketer,"7,165","47,067","4,479.00",9.52
"XOOM Energy Illinois, LLC",IL,Power Marketer,"28,324","223,728","21,863.90",9.77
Agera Energy LLC,MA,Power Marketer,"72,421","452,218","47,025.00",10.4
"Ambit Energy Holdings, LLC",MA,Power Marketer,"20,653","174,956","20,292.00",11.6
"CleanChoice Energy, Inc.",MA,Power Marketer,"19,144","97,860","17,382.90",17.76
Clearview Electric Inc.,MA,Power Marketer,"13,844","68,655","9,348.00",13.62
"Constellation NewEnergy, Inc",MA,Power Marketer,"76,561","736,304","81,355.50",11.05
Direct Energy Services,MA,Power Marketer,"54,469","378,018","48,874.40",12.93
Discount Power Inc - (CT),MA,Power Marketer,"3,451","31,955","5,155.40",16.13
"Dynegy Energy Services, LLC",MA,Power Marketer,"69,246","456,929","49,853.00",10.91
"ENGIE Retail, LLC",MA,Power Marketer,"8,162","82,615","11,038.10",13.36
"Eligo Energy, LLC",MA,Power Marketer,"10,323","71,503","11,010.00",15.4
Energy Plus Holdings LLC,MA,Power Marketer,"3,238","22,663","3,876.40",17.1
"Energy Services Providers, Inc",MA,Power Marketer,"10,172","82,306","13,470.10",16.37
Everyday Energy LLC,MA,Power Marketer,11,71,8.8,12.39
"First Point Power, LLC",MA,Power Marketer,"1,687","16,351","2,142.90",13.11
Great Eastern Energy,MA,Power Marketer,"2,084","30,276","3,406.00",11.25
Green Mountain Energy Company,MA,Power Marketer,"2,383","14,638","2,417.40",16.51
Hampshire COG d/b/a Hampshire Power,MA,Power Marketer,"2,045","15,920","1,780.80",11.19
"Inspire Energy Holdings, LLC",MA,Power Marketer,"14,792","100,721","15,587.60",15.48
Just Energy,MA,Power Marketer,"14,970","107,885","15,604.30",14.46
Liberty Power Corp.,MA,Power Marketer,"22,760","130,713","21,304.00",16.3
Major Energy Electric Services,MA,Power Marketer,"11,381","64,482","10,029.00",15.55
"Mega Energy of New England, LLC",MA,Power Marketer,"2,113","14,494","2,003.20",13.82
"NextEra Energy Services, LLC",MA,Power Marketer,"57,890","567,984","60,085.50",10.58
"Nordic Energy Services, LLC",MA,Power Marketer,115,"1,114",114.7,10.3
"Oasis Power, LLC",MA,Power Marketer,"5,107","47,350","6,209.00",13.11
"Palmco Power MA, LLC",MA,Power Marketer,"14,943","75,923","12,212.00",16.08
"Provider Power MASS, LLC",MA,Power Marketer,"10,259","67,903","8,424.00",12.41
Public Power LLC (CT),MA,Power Marketer,"205,530","1,495,967","152,595.50",10.2
Reliant Energy Northeast LLC,MA,Power Marketer,"42,667","303,954","46,842.70",15.41
"Renaissance Power & Gas, Inc.",MA,Power Marketer,"3,067","1,145",132.9,11.61
"Residents Energy, LLC",MA,Power Marketer,"10,559","59,173","8,662.70",14.64
"SFE Energy Massachusetts, Inc.",MA,Power Marketer,"21,299","116,601","12,209.00",10.47
"SmartEnergy Holdings, LLC",MA,Power Marketer,"9,010","53,279","7,463.20",14.01
"Spark Energy, LP",MA,Power Marketer,"4,015","38,007","6,237.30",16.41
"Starion Energy, Inc.",MA,Power Marketer,"35,391","237,143","33,682.00",14.2
"Summer Energy Northeast, LLC",MA,Power Marketer,"1,700","11,976","1,417.00",11.83
"Sunwave Gas & Power Connecticut, Inc.",MA,Power Marketer,"1,168","13,074","1,360.20",10.4
Town Square Energy,MA,Power Marketer,"21,949","129,062","17,794.20",13.79
Verde Energy USA,MA,Power Marketer,"30,242","224,088","30,207.00",13.48
Viridian Energy LLC,MA,Power Marketer,"31,541","248,774","36,020.20",14.48
"XOOM Energy Massachusetts, LLC",MA,Power Marketer,"6,407","46,729","6,257.20",13.39
AEP Energy,MD,Power Marketer,401,"5,633",392,6.96
AP Holdings LLC,MD,Power Marketer,"1,000","6,657",280,4.21
Agera Energy LLC,MD,Power Marketer,314,"4,483",385,8.59
"Ambit Energy Holdings, LLC",MD,Power Marketer,"13,151","170,312","17,167.00",10.08
American Power & Gas,MD,Power Marketer,11,157,13.2,8.41
"CleanChoice Energy, Inc.",MD,Power Marketer,"13,075","122,682","15,357.30",12.52
Clearview Electric Inc.,MD,Power Marketer,"12,803","77,694","7,521.00",9.68
"Commerce Energy, Inc.",MD,Power Marketer,"19,147","214,941","18,673.10",8.69
"Constellation NewEnergy, Inc",MD,Power Marketer,"111,399","1,636,927","132,985.80",8.12
Direct Energy Services,MD,Power Marketer,"35,363","341,225","33,811.70",9.91
"Discount Energy Group, LLC",MD,Power Marketer,217,"2,818",299.6,10.63
Discount Power Inc - (CT),MD,Power Marketer,86,203,15,7.39
"ENGIE Retail, LLC",MD,Power Marketer,"2,459","29,509","2,663.00",9.02
"Eligo Energy, LLC",MD,Power Marketer,"1,055","11,416",876.3,7.68
Energy Plus Holdings LLC,MD,Power Marketer,"3,892","47,676","7,100.80",14.89
"Energy Services Providers, Inc",MD,Power Marketer,"18,560","219,700","20,758.70",9.45
Energy.Me Midwest LLC,MD,Power Marketer,10,195,16,8.21
First Energy Solutions Corp.,MD,Power Marketer,8,129,9,6.98
"First Point Power, LLC",MD,Power Marketer,7,239,18.2,7.62
"Great American Power, LLC",MD,Power Marketer,"1,124","6,285",607,9.66
Green Mountain Energy Company,MD,Power Marketer,"6,410","73,898","9,812.50",13.28
Greenlight Energy Inc.,MD,Power Marketer,612,"5,881",626.2,10.65
"HIKO Energy, LLC",MD,Power Marketer,948,"6,947",954.3,13.74
"Horizon Power and Light, LLC",MD,Power Marketer,"1,112","17,915","2,232.00",12.46
"IDT Energy, Inc.",MD,Power Marketer,"9,930","91,315","11,581.40",12.68
"Inspire Energy Holdings, LLC",MD,Power Marketer,"11,589","117,585","14,072.20",11.97
"Interstate Gas Supply, Inc.",MD,Power Marketer,"2,610","25,003","2,518.00",10.07
Liberty Power Corp.,MD,Power Marketer,"2,990","22,506","2,618.00",11.63
"LifeEnergy, LLC",MD,Power Marketer,"2,096","22,011","1,812.20",8.23
MPower Energy NJ LLC,MD,Power Marketer,"2,285","16,081","1,824.60",11.35
Major Energy Electric Services,MD,Power Marketer,"5,484","43,401","6,384.00",14.71
"MidAmerican Energy Services, LLC",MD,Power Marketer,345,"5,843",443.8,7.6
"NextEra Energy Services, LLC",MD,Power Marketer,79,"1,050",92.2,8.78
"Nordic Energy Services, LLC",MD,Power Marketer,24,108,9.2,8.52
"North American Power and Gas, LLC",MD,Power Marketer,"6,103","89,416","9,981.90",11.16
"Oasis Power, LLC",MD,Power Marketer,"2,229","29,863","4,384.00",14.68
"Palmco Power MD, LLC",MD,Power Marketer,"5,125","37,918","4,520.00",11.92
Park Power LLC,MD,Power Marketer,691,"6,668",798,11.97
Planet Energy,MD,Power Marketer,41,365,31.4,8.6
"Plymouth Rock Energy, LLC",MD,Power Marketer,533,"4,020",465.9,11.59
"Public Power & Utility of Maryland, LLC",MD,Power Marketer,"4,218","48,171","5,883.10",12.21
Reliant Energy Northeast LLC,MD,Power Marketer,"17,848","224,245","26,497.60",11.82
"SFE Energy Maryland, Inc",MD,Power Marketer,"6,458","72,991","5,914.00",8.1
"Shipley Choice, LLC",MD,Power Marketer,615,"8,270",837.3,10.12
"SmartEnergy Holdings, LLC",MD,Power Marketer,"7,339","66,894","6,092.50",9.11
"Spark Energy, LP",MD,Power Marketer,"3,167","34,223","4,475.60",13.08
Spring Energy RRH LLC dba Spring Power &,MD,Power Marketer,"1,576","12,926","1,526.00",11.81
"Star Energy Partners, LLC",MD,Power Marketer,"16,980","145,728","13,714.10",9.41
"Starion Energy PA, Inc.",MD,Power Marketer,"2,616","26,758","3,824.90",14.29
"Stream Energy Maryland, LLC",MD,Power Marketer,"7,337","100,482","10,980.70",10.93
Tomorow Energy Corp.,MD,Power Marketer,"3,042","37,138","3,919.20",10.55
Viridian Energy PA LLC,MD,Power Marketer,"4,238","51,453","6,143.80",11.94
"WGL Energy Services, Inc.",MD,Power Marketer,"45,719","536,248","44,293.00",8.26
"XOOM Energy Maryland, LLC",MD,Power Marketer,"17,226","193,555","17,914.90",9.26
Agera Energy LLC,ME,Power Marketer,196,"2,649",233,8.8
"Ambit Energy Holdings, LLC",ME,Power Marketer,"8,118","68,564","5,560.00",8.11
"C. N. Brown Electricity, LLC",ME,Power Marketer,"1,109","8,012",697.1,8.7
Clearview Electric Inc.,ME,Power Marketer,"18,129","62,116","7,087.00",11.41
"Constellation NewEnergy, Inc",ME,Power Marketer,378,"5,754",403.8,7.02
"ENGIE Retail, LLC",ME,Power Marketer,"2,795","23,594","2,125.10",9.01
"Electricity Maine, LLC",ME,Power Marketer,"56,958","401,214","42,545.00",10.6
FairPoint Energy LLC,ME,Power Marketer,"8,716","53,261","5,976.30",11.22
"First Point Power, LLC",ME,Power Marketer,177,"1,665",142.2,8.54
"Mega Energy of Maine, LLC",ME,Power Marketer,6,64,8.4,13.13
"North American Power and Gas, LLC",ME,Power Marketer,"4,443","35,477","3,791.40",10.69
Town Square Energy,ME,Power Marketer,"1,088","2,403",242.4,10.09
Union Atlantic Electricity,ME,Power Marketer,"2,452","11,662","1,171.20",10.04
"XOOM Energy Maine, LLC",ME,Power Marketer,"1,221","8,927",981.7,11
Agera Energy LLC,NH,Power Marketer,913,"8,055",822,10.2
"Ambit Energy Holdings, LLC",NH,Power Marketer,"4,084","33,867","3,678.00",10.86
Clearview Electric Inc.,NH,Power Marketer,"8,083","16,859","2,004.00",11.89
"Constellation NewEnergy, Inc",NH,Power Marketer,747,"20,558","1,630.10",7.93
Direct Energy Services,NH,Power Marketer,"18,059","147,009","13,189.60",8.97
"ENGIE Retail, LLC",NH,Power Marketer,"1,479","11,161","1,203.50",10.78
"Electricity NH, LLC d/b/a ENH Power, LLC",NH,Power Marketer,"28,850","235,137","27,982.00",11.9
FairPoint Energy LLC,NH,Power Marketer,"6,899","42,070","5,745.50",13.66
"First Point Power, LLC",NH,Power Marketer,"2,720","26,702","2,652.80",9.93
"Mega Energy of New Hampshire, LLC",NH,Power Marketer,498,"3,630",500.1,13.78
"North American Power and Gas, LLC",NH,Power Marketer,"36,879","285,640","34,153.20",11.96
PNE Energy Supply LLC,NH,Power Marketer,259,153,14.1,9.22
"SmartEnergy Holdings, LLC",NH,Power Marketer,"1,949","13,950","1,822.00",13.06
"Summer Energy Northeast, LLC",NH,Power Marketer,236,"2,036",186,9.14
Town Square Energy,NH,Power Marketer,"6,738","42,381","4,594.70",10.84
"XOOM Energy New Hampshire, LLC",NH,Power Marketer,"2,071","11,270","1,137.40",10.09
AEP Energy,NJ,Power Marketer,"1,058","13,246","1,232.00",9.3
AP Holdings LLC,NJ,Power Marketer,"2,253","13,059",618,4.73
Agera Energy LLC,NJ,Power Marketer,271,"2,938",331,11.27
"Alpha Gas and Electric, LLC",NJ,Power Marketer,"1,357","10,370","1,654.00",15.95
"Ambit Energy Holdings, LLC",NJ,Power Marketer,"15,841","168,395","20,429.00",12.13
American Power & Gas,NJ,Power Marketer,"3,597","35,262","5,448.10",15.45
Astral Energy LLC,NJ,Power Marketer,"1,749","15,108","2,531.20",16.75
Censtar Energy Corporation,NJ,Power Marketer,75,"6,325",737,11.65
Champion Energy Services,NJ,Power Marketer,141,"1,423",207,14.55
"Choice Energy, LLC d/b/a 4 Choice Energy",NJ,Power Marketer,"2,597","18,232","2,708.30",14.85
"CleanChoice Energy, Inc.",NJ,Power Marketer,"5,373","37,319","5,817.90",15.59
Clearview Electric Inc.,NJ,Power Marketer,"11,077","49,818","6,115.00",12.27
"Commerce Energy, Inc.",NJ,Power Marketer,"3,693","37,445","4,312.10",11.52
Constellation Energy Power Choice Inc.,NJ,Power Marketer,483,"1,231",168.1,13.66
"Constellation NewEnergy, Inc",NJ,Power Marketer,"16,845","166,441","16,208.10",9.74
Direct Energy Services,NJ,Power Marketer,"22,816","167,892","24,259.10",14.45
"Discount Energy Group, LLC",NJ,Power Marketer,328,"2,504",279.3,11.15
"ENGIE Retail, LLC",NJ,Power Marketer,"1,147","7,095",850.5,11.99
"East Coast Power & Gas, LLC",NJ,Power Marketer,31,727,68,9.35
Energy Plus Holdings LLC,NJ,Power Marketer,"10,029","90,312","14,019.70",15.52
"Energy Services Providers, Inc",NJ,Power Marketer,"4,151","37,732","5,115.40",13.56
Energy.Me Midwest LLC,NJ,Power Marketer,15,240,31,12.92
Entrust Energy,NJ,Power Marketer,6,3,0.3,10
Everyday Energy LLC,NJ,Power Marketer,553,"4,891",765.5,15.65
First Energy Solutions Corp.,NJ,Power Marketer,52,830,78,9.4
"First Point Power, LLC",NJ,Power Marketer,65,"1,322",116.2,8.79
"Frontier Utilities, Inc.",NJ,Power Marketer,"1,412","12,466","1,777.50",14.26
Great Eastern Energy,NJ,Power Marketer,909,"16,823","1,563.00",9.29
Green Mountain Energy Company,NJ,Power Marketer,"1,591","15,643","2,390.70",15.28
Greenlight Energy Inc.,NJ,Power Marketer,559,"3,827",433.2,11.32
"HIKO Energy, LLC",NJ,Power Marketer,"2,240","14,518","2,280.40",15.71
"Harborside Energy, LLC",NJ,Power Marketer,"1,039","6,416",923.6,14.4
"IDT Energy, Inc.",NJ,Power Marketer,"22,587","185,864","19,586.60",10.54
"Inspire Energy Holdings, LLC",NJ,Power Marketer,"25,360","211,531","30,878.40",14.6
Liberty Power Corp.,NJ,Power Marketer,"2,014","14,401","1,866.00",12.96
"LifeEnergy, LLC",NJ,Power Marketer,"1,629","13,808","1,533.50",11.11
MPower Energy NJ LLC,NJ,Power Marketer,"3,743","19,609","2,665.90",13.6
Marathon Power LLC,NJ,Power Marketer,399,"5,689",539.6,9.48
"NextEra Energy Services, LLC",NJ,Power Marketer,576,"6,686",805.2,12.04
"Nordic Energy Services, LLC",NJ,Power Marketer,196,"1,581",168.9,10.68
"North American Power and Gas, LLC",NJ,Power Marketer,"16,286","203,167","24,715.80",12.17
"Oasis Power, LLC",NJ,Power Marketer,750,"6,503",856,13.16
"Palmco Power NJ, LLC",NJ,Power Marketer,"2,533","14,565","2,499.00",17.16
"Plymouth Rock Energy, LLC",NJ,Power Marketer,"1,771","10,905","1,587.80",14.56
Reliant Energy Northeast LLC,NJ,Power Marketer,"12,866","135,071","15,461.10",11.45
"ResCom Energy, LLC",NJ,Power Marketer,55,247,39.2,15.87
"Residents Energy, LLC",NJ,Power Marketer,"1,913","13,578","1,872.70",13.79
Respond Power LLC,NJ,Power Marketer,"8,558","72,811","8,869.00",12.18
"SFE Energy New Jersey, Inc.",NJ,Power Marketer,"4,763","31,052","2,902.00",9.35
"SmartEnergy Holdings, LLC",NJ,Power Marketer,"2,631","18,453","2,116.80",11.47
South Bay Energy Corp.,NJ,Power Marketer,671,"5,291",795,15.03
South Jersey Energy Company,NJ,Power Marketer,"30,683","323,964","28,932.30",8.93
"Spark Energy, LP",NJ,Power Marketer,816,"7,219","1,067.50",14.79
Spring Energy RRH LLC dba Spring Power &,NJ,Power Marketer,"3,319","22,686","3,106.00",13.69
"Star Energy Partners, LLC",NJ,Power Marketer,"15,076","111,602","14,881.60",13.33
"Starion Energy PA, Inc.",NJ,Power Marketer,"19,000","162,579","22,486.80",13.83
