Entity,State,Ownership,"Customers(Count)","Sales(Megawatthours)","Revenues(Thousands Dollars)","Average Price(cents/kWh)"
3 Phases Renewables Inc,CA,Power Marketer,83,624,44,7.05
Apple Valley Choice Energy,CA,Community Choice,"22,791","177,952","11,070.00",6.22
City of Solana Beach,CA,Community Choice,"5,359","14,650","1,873.00",12.78
Clean Power Alliance of Southern Califor,CA,Community Choice,4,22,1.3,5.91
CleanPowerSF,CA,Community Choice,"75,304","240,358","16,744.00",6.97
"Commerce Energy, Inc.",CA,Power Marketer,"4,748","48,346","4,614.90",9.55
East Bay Community Energy,CA,Community Choice,"135,759","313,339","21,903.30",6.99
King City Community Power,CA,Community Choice,"2,728","4,571",342,7.48
Lancaster Choice Energy,CA,Community Choice,"43,591","338,290","21,167.00",6.26
Marin Clean Energy,CA,Community Choice,"371,179","2,019,672","136,058.70",6.74
Monterey Bay Community Power,CA,Community Choice,"169,551","422,921","30,523.00",7.22
Peninsula Clean Energy Authority,CA,Community Choice,"260,881","1,361,943","89,700.00",6.59
Pico Rivera Innovative Municipal Energy,CA,Community Choice,"14,663","90,690","5,735.00",6.32
Pioneer Community Energy,CA,Community Choice,"61,159","503,189","33,151.00",6.59
Rancho Mirage Energy Authority,CA,Community Choice,"10,608","106,981","6,561.00",6.13
Redwood Coast Energy Authority,CA,Community Choice,"47,210","328,834","22,051.40",6.71
San Jacinto Power,CA,Community Choice,"10,597","74,683","4,687.00",6.28
San Jose Clean Energy,CA,Community Choice,6,26,1.9,7.31
Silicon Valley Clean Energy Authority,CA,Community Choice,"224,385","1,268,266","83,418.00",6.58
Sonoma Clean Power Authority,CA,Community Choice,"191,168","1,159,176","76,327.40",6.58
Valley Clean Energy Alliance,CA,Community Choice,"47,420","161,041","11,402.00",7.08
Aequitas Energy Inc,CT,Power Marketer,"1,112","11,925","1,294.00",10.85
Agera Energy LLC,CT,Power Marketer,"2,622","20,803","1,892.00",9.09
"Ambit Energy Holdings, LLC",CT,Power Marketer,"47,414","465,635","41,494.00",8.91
"Choice Energy, LLC d/b/a 4 Choice Energy",CT,Power Marketer,"2,840","15,468","2,404.10",15.54
Clearview Electric Inc.,CT,Power Marketer,"26,076","97,707","9,850.00",10.08
"Constellation NewEnergy, Inc",CT,Power Marketer,"35,799","374,618","33,074.00",8.83
Direct Energy Services,CT,Power Marketer,"30,108","237,767","25,517.70",10.73
Discount Power Inc - (CT),CT,Power Marketer,"20,499","190,085","17,545.00",9.23
"ENGIE Retail, LLC",CT,Power Marketer,"10,657","114,419","9,723.80",8.5
Energy Plus Holdings LLC,CT,Power Marketer,"2,206","18,711","2,667.00",14.25
"Energy Services Providers, Inc",CT,Power Marketer,"3,622","30,508","3,202.10",10.5
Everyday Energy LLC,CT,Power Marketer,7,60,6.4,10.67
Great Eastern Energy,CT,Power Marketer,56,308,28.7,9.32
"HIKO Energy, LLC",CT,Power Marketer,"1,835","12,821","1,379.10",10.76
Liberty Power Corp.,CT,Power Marketer,"13,802","78,876","9,480.00",12.02
