2021 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
3 Phases Renewables Inc,CA,Retail Power Marketer,83,786,60.0,7.63
Apple Valley Choice Energy,CA,Community Choice Aggregator,"22,945","185,514","13,374.0",7.21
BPROUD,CA,Community Choice Aggregator,"15,521","104,833","7,238.0",6.90
Central Coast Community Energy,CA,Community Choice Aggregator,"330,485","1,565,296","112,811.0",7.21
City of Solana Beach,CA,Community Choice Aggregator,"6,306","13,064",602.0,4.61
Clean Energy Alliance,CA,Community Choice Aggregator,"44,456","134,979","14,303.0",10.60
Clean Power Alliance of Southern Califor,CA,Community Choice Aggregator,"708,688","5,286,249","413,863.4",7.83
CleanPowerSF,CA,Community Choice Aggregator,"352,414","1,267,435","91,608.7",7.23
"Commerce Energy, Inc.",CA,Retail Power Marketer,120,71,10.0,14.08
Desert Community Energy,CA,Community Choice Aggregator,"28,941","243,788","22,590.2",9.27
East Bay Community Energy,CA,Community Choice Aggregator,"556,401","2,556,087","175,253.5",6.86
King City Community Power,CA,Community Choice Aggregator,"2,774","11,043",795.0,7.20
Lancaster Choice Energy,CA,Community Choice Aggregator,"44,892","371,462","27,947.0",7.52
Marin Clean Energy,CA,Community Choice Aggregator,"472,608","2,714,332","234,879.0",8.65
Peninsula Clean Energy Authority,CA,Community Choice Aggregator,"268,016","1,397,994","85,090.3",6.09
Pico Rivera Innovative Municipal Energy,CA,Community Choice Aggregator,"15,110","91,324","6,760.0",7.40
"Pilot Power Group, LLC",CA,Retail Power Marketer,"4,861","32,929","4,054.0",12.31
Pioneer Community Energy,CA,Community Choice Aggregator,"81,495","640,821","49,946.0",7.79
Pomona Choice Energy (PCE),CA,Community Choice Aggregator,"35,297","224,310","16,393.0",7.31
Rancho Mirage Energy Authority,CA,Community Choice Aggregator,"12,297","146,950","9,878.0",6.72
Redwood Coast Energy Authority,CA,Community Choice Aggregator,"47,739","326,006","21,297.5",6.53
San Diego Community Power,CA,Community Choice Aggregator,11,130,12.0,9.23
San Jacinto Power,CA,Community Choice Aggregator,"12,546","105,794","8,216.0",7.77
San Jose Clean Energy,CA,Community Choice Aggregator,"349,799","1,693,606","130,459.3",7.70
Santa Barbara Clean Energy,CA,Community Choice Aggregator,"20,400","22,402","1,745.0",7.79
Silicon Valley Clean Energy Authority,CA,Community Choice Aggregator,"245,998","1,375,594","90,474.0",6.58
Sonoma Clean Power Authority,CA,Community Choice Aggregator,"196,306","1,138,121","91,518.5",8.04
Valley Clean Energy Alliance,CA,Community Choice Aggregator,"51,306","307,558","22,250.1",7.23
Western Community Energy,CA,Community Choice Aggregator,"97,095","284,807","22,445.0",7.88
"Ambit Energy Holdings, LLC",CT,Retail Power Marketer,"20,152","169,729","16,066.0",9.47
"Choice Energy, LLC",CT,Retail Power Marketer,"2,157","7,487","1,101.0",14.71
Clearview Electric Inc.,CT,Retail Power Marketer,"20,250","198,665","16,854.5",8.48
"Constellation NewEnergy, Inc",CT,Retail Power Marketer,"40,660","376,553","32,707.7",8.69
Direct Energy Services,CT,Retail Power Marketer,"25,543","229,299","20,329.6",8.87
Discount Power Inc - (CT),CT,Retail Power Marketer,"8,413","76,743","8,011.2",10.44
"ENGIE Retail, LLC",CT,Retail Power Marketer,432,"4,283",409.2,9.55
Energy Plus Holdings LLC,CT,Retail Power Marketer,"1,424","10,167","1,407.3",13.84
"Energy Services Providers, Inc",CT,Retail Power Marketer,"1,562","11,629","1,315.0",11.31
Everyday Energy LLC,CT,Retail Power Marketer,154,"1,054",111.0,10.53
Liberty Power Corp.,CT,Retail Power Marketer,"18,981","146,250","12,646.3",8.65
Major Energy Electric Services,CT,Retail Power Marketer,"4,794","37,508","3,098.0",8.26
"Mega Energy of New England, LLC",CT,Retail Power Marketer,"1,163","10,751",923.0,8.59
"National Gas & Electric, LLC",CT,Retail Power Marketer,26,258,20.3,7.87
"North American Power and Gas, LLC",CT,Retail Power Marketer,"15,162","133,602","15,870.6",11.88
Public Power LLC (CT),CT,Retail Power Marketer,"16,252","156,300","14,800.0",9.47
Reliant Energy Northeast LLC,CT,Retail Power Marketer,"2,809","23,811","3,215.0",13.50
"Residents Energy, LLC",CT,Retail Power Marketer,281,999,89.8,8.99
"Spark Energy, LP",CT,Retail Power Marketer,94,800,85.0,10.63
"Starion Energy, Inc.",CT,Retail Power Marketer,"12,109","109,708","8,656.3",7.89
"Sunwave Gas & Power Connecticut, Inc.",CT,Retail Power Marketer,"3,412","32,810","2,875.0",8.76
Town Square Energy,CT,Retail Power Marketer,"32,334","305,524","26,551.2",8.69
Verde Energy USA,CT,Retail Power Marketer,"12,003","85,249","10,582.0",12.41
Viridian Energy LLC,CT,Retail Power Marketer,"1,640","13,008","1,638.0",12.59
"XOOM Energy Connecticut, LLC",CT,Retail Power Marketer,"5,513","44,139","3,770.0",8.54
"Alpha Gas and Electric, LLC",DC,Retail Power Marketer,27,65,11.0,16.92
"Ambit Energy Holdings, LLC",DC,Retail Power Marketer,396,"3,593",365.0,10.16
"CleanChoice Energy, Inc.",DC,Retail Power Marketer,"8,993","69,233","9,542.0",13.78
Clearview Electric Inc.,DC,Retail Power Marketer,586,"5,248",582.3,11.10
"Constellation NewEnergy, Inc",DC,Retail Power Marketer,"2,238","39,213","3,132.6",7.99
Direct Energy Services,DC,Retail Power Marketer,497,"4,231",437.7,10.35
"ENGIE Retail, LLC",DC,Retail Power Marketer,336,"2,767",202.8,7.33
"Eligo Energy, LLC",DC,Retail Power Marketer,371,"2,862",354.0,12.37
"Energy Services Providers, Inc",DC,Retail Power Marketer,406,"3,316",432.0,13.03
"Horizon Power and Light, LLC",DC,Retail Power Marketer,207,"2,060",283.8,13.78
"IDT Energy, Inc.",DC,Retail Power Marketer,"1,675","14,894","2,184.4",14.67
"Inspire Energy Holdings, LLC",DC,Retail Power Marketer,135,"1,127",102.9,9.13
Liberty Power Corp.,DC,Retail Power Marketer,696,"5,242",575.5,10.98
MPower Energy NJ LLC,DC,Retail Power Marketer,"1,470","11,378","1,485.1",13.05
Major Energy Electric Services,DC,Retail Power Marketer,566,"6,161",825.0,13.39
"MidAmerican Energy Services, LLC",DC,Retail Power Marketer,22,"1,295",92.2,7.12
"NextEra Energy Services, LLC",DC,Retail Power Marketer,92,"1,130",102.3,9.05
"Palmco Power DC, LLC",DC,Retail Power Marketer,"1,001","7,604","1,309.0",17.21
Park Power LLC,DC,Retail Power Marketer,755,"7,023",732.4,10.43
Public Power LLC (CT),DC,Retail Power Marketer,767,"6,565",912.0,13.89
"RPA Energy, Inc.",DC,Retail Power Marketer,73,525,67.9,12.93
