"Table 12. Class of Ownership, Number of Consumers, Sales, Revenue, and Average Retail Price","for Power Marketers and Energy Service Providers by State: Residential Sector, 2010",,,,,
 Entity , State, Class of  Ownership,Number of Consumers, Sales (megawatthours),Revenue (thousand dollars),Average Retail Price  (cents/kWh)
Balancing Item,MD,Other,"34,966","787,182","82,647",NA
Balancing Item,ME,Other,"130,704","653,773","57,937",NA
Balancing Item,MI,Other,71,"1,037",66,NA
Balancing Item,MT,Other,15,120,7,NA
Balancing Item,NH,Other,"1,695","10,528",956,NA
Balancing Item,NJ,Other,"-6,806","207,593","22,166",NA
Balancing Item,NY,Other,"3,479","-633,743","-65,321",NA
Balancing Item,OH,Other,"92,576","851,118","55,800",NA
Balancing Item,PA,Other,"-46,191","-296,826","-27,317",NA
Balancing Item,RI,Other,"1,027","14,582","1,193",NA
